component_family,scalar_name,semantic_class,hit,closed_fraction_vs_best_scalar,cell_hit_ge_0_7_count,target_label_derived,same_label_derived,available_at_selection_time,single_component,diagnostic_only,no_selection_artifact
accuracy_component,target_bacc_delta:high,S3_target_endpoint_component_label,0.9259259259259259,0.9594594594594595,150,1,0,0,1,1,1
accuracy_component_z,target_bacc_z:high,S3_target_endpoint_component_label,0.9259259259259259,0.9594594594594595,150,1,0,0,1,1,1
nll_component,target_nll_delta:high,S3_target_endpoint_component_label,0.8333333333333334,0.7567567567567569,135,1,0,0,1,1,1
nll_component_z,target_nll_z:high,S3_target_endpoint_component_label,0.8333333333333334,0.7567567567567569,135,1,0,0,1,1,1
ece_component,target_ece_delta:high,S3_target_endpoint_component_label,0.7037037037037037,0.472972972972973,114,1,0,0,1,1,1
ece_component_z,target_ece_z:high,S3_target_endpoint_component_label,0.7037037037037037,0.472972972972973,114,1,0,0,1,1,1
calibration_best_component,target_nll_delta:high,S3_target_endpoint_component_label,0.8333333333333334,0.7567567567567569,135,1,0,0,1,1,1
joint_margin,target_joint_margin_raw:high,S5_same_label_oracle_margin,0.9444444444444444,1.0,153,1,1,0,0,1,1
joint_good_label,primary_joint_good:high,S5_same_label_oracle_margin,0.9444444444444444,1.0,153,1,1,0,0,1,1
min_endpoint_margin,continuous_joint_min_margin:high,S4_target_joint_endpoint_label,0.8518518518518519,0.7972972972972974,138,1,0,0,0,1,1
utility_score,target_utility_score:high,S4_target_joint_endpoint_label,0.8518518518518519,0.7972972972972974,138,1,0,0,0,1,1
