scalar_name,semantic_class,hit,hit_minus_key_only,hit_minus_random,closed_fraction_vs_c53_gap,auc_vs_joint_good,spearman_vs_joint_good,discrete_mi_vs_joint_good,threshold_overlap_with_joint_good,direct_joint_label_field,near_endpoint_oracle,same_label_tautology,target_label_derived,available_at_selection_time,diagnostic_only,no_selection_artifact
source_rank_score:high,S0_strict_source_observable,0.5061728395061729,0.018518518518518545,0.07644946147013187,0.0405405405405406,0.5406644486315515,0.06962077292201431,0.00871699528126672,0.4242902208201893,0,0,0,0,1,0,1
R_src:high,S0_strict_source_observable,0.3888888888888889,-0.09876543209876543,-0.0408344891471521,-0.21621621621621623,0.4641849569689871,-0.06131822147418257,0.017348246187124768,0.4242902208201893,0,0,0,0,1,0,1
c19_robust_core_score:high,S0_strict_source_observable,0.5061728395061729,0.018518518518518545,0.07644946147013187,0.0405405405405406,0.5406644486315515,0.06962077292201431,0.00871699528126672,0.4242902208201893,0,0,0,0,1,0,1
selection_leakage_point:high,S0_strict_source_observable,0.42592592592592593,-0.06172839506172839,-0.0037974521101150627,-0.13513513513513514,0.5065845088353618,0.01127320636515258,0.019469433196871205,0.4242902208201893,0,0,0,0,1,0,1
cell_prior:high,S1_key_or_cell_prior_only,0.4297233780360411,-0.05793094295161322,1.1102230246251565e-16,-0.12682179402920732,,,,,0,0,0,0,1,0,1
target_bacc_delta:high,S3_target_endpoint_component_label,0.9259259259259259,0.4382716049382716,0.49620254788988494,0.9594594594594595,0.9863573865661761,0.8314177811823517,0.7698612773266705,0.944794952681388,0,1,0,1,0,1,1
target_bacc_z:high,S3_target_endpoint_component_label,0.9259259259259259,0.4382716049382716,0.49620254788988494,0.9594594594594595,0.9863573865661761,0.8314177811823517,0.7698612773266705,0.9313880126182965,0,1,0,1,0,1,1
target_nll_delta:high,S3_target_endpoint_component_label,0.8333333333333334,0.34567901234567905,0.4036099552972924,0.7567567567567569,0.8540688496206141,0.6061942217784305,0.3206825199286397,0.7578864353312302,0,0,0,1,0,1,1
target_nll_z:high,S3_target_endpoint_component_label,0.8333333333333334,0.34567901234567905,0.4036099552972924,0.7567567567567569,0.8540688496206141,0.6061942217784305,0.3206825199286397,0.776813880126183,0,0,0,1,0,1,1
target_ece_delta:high,S3_target_endpoint_component_label,0.7037037037037037,0.2160493827160494,0.2739803256676627,0.472972972972973,0.8518561898456994,0.6024059710702642,0.32237020986493975,0.7413249211356467,0,0,0,1,0,1,1
target_ece_z:high,S3_target_endpoint_component_label,0.7037037037037037,0.2160493827160494,0.2739803256676627,0.472972972972973,0.8518561898456994,0.6024059710702642,0.32237020986493975,0.7728706624605678,0,0,0,1,0,1,1
target_utility_score:high,S4_target_joint_endpoint_label,0.8518518518518519,0.36419753086419754,0.42212847381581087,0.7972972972972974,0.9485486581453378,0.767953410395572,0.6001560463782369,0.862776025236593,0,0,0,1,0,1,1
continuous_joint_min_margin:high,S4_target_joint_endpoint_label,0.8518518518518519,0.36419753086419754,0.42212847381581087,0.7972972972972974,0.9485486581453378,0.767953410395572,0.6001560463782369,0.862776025236593,0,0,0,1,0,1,1
endpoint_vector_norm_regret:low,S4_target_joint_endpoint_label,0.8888888888888888,0.4012345679012345,0.45916551085284785,0.8783783783783783,0.8095190202169374,0.5298932348112798,0.23172104551532613,0.5757097791798107,0,0,0,1,0,1,1
dominated_hypervolume_regret:low,S4_target_joint_endpoint_label,0.8703703703703703,0.38271604938271603,0.44064699233432936,0.8378378378378378,0.8064992106737282,0.5247252573196951,0.22555221404854825,0.5757097791798107,0,0,0,1,0,1,1
pareto_distance:low,S4_target_joint_endpoint_label,0.8081790123456791,0.3205246913580248,0.37845563430963813,0.7016891891891894,0.754369302846667,0.4360505984421986,0.16163025771793987,0.5757097791798107,0,0,0,1,0,1,1
pareto_good:high,S4_target_joint_endpoint_label,0.8081790123456791,0.3205246913580248,0.37845563430963813,0.7016891891891894,0.5978229872180069,0.2817042331396514,0.05807922288801149,0.6506309148264984,0,0,0,1,0,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,0.9444444444444444,0.4567901234567901,0.5147210664084034,1.0,1.0,0.856050071052604,0.9030924545601552,1.0,1,1,1,1,0,1,1
primary_joint_good:high,S5_same_label_oracle_margin,0.9444444444444444,0.4567901234567901,0.5147210664084034,1.0,1.0,1.0,0.9833972412548244,1.0,1,1,1,1,0,1,1
