method_id,status,accounted_for,real_outcome_used
B0,FEASIBLE_PRIMARY,1,0
B1,FEASIBLE_PRIMARY,1,0
B2,FEASIBLE_SECONDARY,1,0
B3,FEASIBLE_SECONDARY,1,0
B4O,FEASIBLE_SECONDARY,1,0
B4S,FEASIBLE_SECONDARY,1,0
B5,CEILING_ONLY_NOT_SELECTOR,1,0
S1,FEASIBLE_PRIMARY,1,0
S2,FEASIBLE_SECONDARY,1,0
S3,EXCLUDED_INPUT_UNAVAILABLE,1,0
S4,EXCLUDED_INPUT_UNAVAILABLE,1,0
U1,FEASIBLE_SECONDARY,1,0
U2,FEASIBLE_SECONDARY,1,0
U3,FEASIBLE_SECONDARY,1,0
U4,FEASIBLE_SECONDARY,1,0
U5,FEASIBLE_PRIMARY,1,0
U6,FEASIBLE_SECONDARY,1,0
U7,FEASIBLE_PRIMARY,1,0
U8,EXCLUDED_INPUT_UNAVAILABLE,1,0
U9,EXCLUDED_INPUT_UNAVAILABLE,1,0
U10,EXCLUDED_INPUT_UNAVAILABLE,1,0
U11,FEASIBLE_PRIMARY,1,0
U12,FEASIBLE_SECONDARY,1,0
U13,FEASIBLE_PRIMARY,1,0
U14,FEASIBLE_PRIMARY,1,0
U15,FEASIBLE_PRIMARY,1,0
U16,FEASIBLE_DIAGNOSTIC_ONLY,1,0
L1,FEASIBLE_PRIMARY_FIXED_COMPARATOR,1,0
L2,FEASIBLE_SECONDARY_FIXED_COMPARATOR,1,0
L3,FEASIBLE_SECONDARY_FIXED_COMPARATOR,1,0
L4,FEASIBLE_SECONDARY_FIXED_COMPARATOR,1,0
L5,FEASIBLE_SECONDARY_FIXED_COMPARATOR,1,0
L6,FEASIBLE_SECONDARY_FIXED_COMPARATOR,1,0
L7,FEASIBLE_PRIMARY_FIXED_COMPARATOR,1,0
