check_id,expected,observed,passed,real_outcome_used
protocol_commit,16a0d2eba4715a1cec78da6a79a182fd416a6629,16a0d2eba4715a1cec78da6a79a182fd416a6629,1,0
protocol_sha256,cbdb42f54956b685c27a1718c37d7c56c513084817a5c69fb29f06bfb67ad3ee,cbdb42f54956b685c27a1718c37d7c56c513084817a5c69fb29f06bfb67ad3ee,1,0
analysis_lock_commit,541651c2ee3343c12d374a7322c91181a860a2c9,541651c2ee3343c12d374a7322c91181a860a2c9,1,0
analysis_lock_sha256,b383707f58063c10f719194a995ab34094f6dcefe08c1e71837644db83dc94f1,b383707f58063c10f719194a995ab34094f6dcefe08c1e71837644db83dc94f1,1,0
method_registry_sha256,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1,0
field_view_manifest_digest,6180275dcef26bdda4ae4b291d1ef6dc83434462ecacee0350fa94ae9c6a7fef,6180275dcef26bdda4ae4b291d1ef6dc83434462ecacee0350fa94ae9c6a7fef,1,0
base_head,89c6afb56bf0a386200d5ce4e54c0d14153bcde8,89c6afb56bf0a386200d5ce4e54c0d14153bcde8,1,0
HEAD_contains_protocol,1,1,1,0
HEAD_contains_implementation,1,1,1,0
HEAD_contains_analysis_lock,1,1,1,0
operative_blob_changes_after_lock,0,0,1,0
external_manifest_hashes,11/11,11/11,1,0
