method_id,method,information_class,registry_status,C81E_status,scientific_result_available
B0,Uniform random candidate,I0,FEASIBLE_PRIMARY,EVALUATION_CONTROL_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
B1,ERM anchor,I0,FEASIBLE_PRIMARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
B2,Final OACI checkpoint,I0,FEASIBLE_SECONDARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
B3,Final SRC checkpoint,I0,FEASIBLE_SECONDARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
B4O,OACI cadence midpoint,I0,FEASIBLE_SECONDARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
B4S,SRC cadence midpoint,I0,FEASIBLE_SECONDARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
B5,Oracle-best candidate,IOr,CEILING_ONLY_NOT_SELECTOR,EVALUATION_CONTROL_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
S1,Source-validation balanced accuracy,IS,FEASIBLE_PRIMARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
S2,Source-validation negative NLL,IS,FEASIBLE_SECONDARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
S3,Source-LODO,IS,EXCLUDED_INPUT_UNAVAILABLE,REGISTERED_INPUT_UNAVAILABLE_NOT_EXECUTED,0
S4,Historical strict-source F2 candidate,IS,EXCLUDED_INPUT_UNAVAILABLE,REGISTERED_INPUT_UNAVAILABLE_NOT_EXECUTED,0
U1,Mean maximum softmax probability,IU,FEASIBLE_SECONDARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
