artifact,status,reason
primary_method_regret_table.csv,NOT_EMITTED_BLOCKED_NO_FROZEN_SCIENTIFIC_ROWS,job_894958_failed_before_first_result_table_write
primary_method_selected_utility_table.csv,NOT_EMITTED_BLOCKED_NO_FROZEN_SCIENTIFIC_ROWS,job_894958_failed_before_first_result_table_write
primary_method_source_relative_gain.csv,NOT_EMITTED_BLOCKED_NO_FROZEN_SCIENTIFIC_ROWS,job_894958_failed_before_first_result_table_write
primary_method_topk_table.csv,NOT_EMITTED_BLOCKED_NO_FROZEN_SCIENTIFIC_ROWS,job_894958_failed_before_first_result_table_write
zero_label_vs_strict_source_maxT.csv,NOT_EMITTED_BLOCKED_NO_FROZEN_SCIENTIFIC_ROWS,job_894958_failed_before_first_result_table_write
zero_label_vs_Q0_B1_noninferiority.csv,NOT_EMITTED_BLOCKED_NO_FROZEN_SCIENTIFIC_ROWS,job_894958_failed_before_first_result_table_write
seed_specific_method_results.csv,NOT_EMITTED_BLOCKED_NO_FROZEN_SCIENTIFIC_ROWS,job_894958_failed_before_first_result_table_write
cross_seed_stability.csv,NOT_EMITTED_BLOCKED_NO_FROZEN_SCIENTIFIC_ROWS,job_894958_failed_before_first_result_table_write
leave_one_target_method_stability.csv,NOT_EMITTED_BLOCKED_NO_FROZEN_SCIENTIFIC_ROWS,job_894958_failed_before_first_result_table_write
measurement_vs_decision_separation.csv,NOT_EMITTED_BLOCKED_NO_FROZEN_SCIENTIFIC_ROWS,job_894958_failed_before_first_result_table_write
target_level_catastrophic_failures.csv,NOT_EMITTED_BLOCKED_NO_FROZEN_SCIENTIFIC_ROWS,job_894958_failed_before_first_result_table_write
q0_budget_context.csv,NOT_EMITTED_BLOCKED_NO_FROZEN_SCIENTIFIC_ROWS,job_894958_failed_before_first_result_table_write
