check,passed,blocking,evidence
base_protocol_hash_replayed,1,0,cbdb42f54956b685c27a1718c37d7c56c513084817a5c69fb29f06bfb67ad3ee
source_schema_repair_hash_replayed,1,0,ba0434b4ea7965691dafaf506547af64f851c57bdca330a0a5c88e4fa7ba1b15
descriptor_repair_hash_replayed,1,0,2acf6ecc179c739f73845d430f9eac9e9e83a83015370b1125dbe447b8b59272
analysis_lock_hash_replayed,1,0,13414dde0a88eb8a1a0810b3b36f25c718669d4cfe3178b871239eff6e292705
authorization_binding_preceded_job,1,0,102e466_precedes_894958
selection_manifest_replayed,1,0,4677ed3aba7758ea0008c2093b44d6fb81d425930727e5941950179737ebd519
selection_payload_replayed,1,0,1ed893acd9190914eb4cb122f3ef26bc1e2355c4103894b816894bd264669257
selection_recomputed_false,1,0,lock_forbids_recompute
evaluation_after_selection_freeze,1,0,manifest_precedes_job_894958
evaluation_job_preserved,1,0,job_894958
evaluation_failure_stage_exact,1,0,first_result_table_schema_validation
evaluation_stdout_empty,1,0,zero_bytes
evaluation_stderr_preserved,1,0,8b0e0d7b5102d9c82961e901e885e832af9410b7f5a76749fc5e2c17852201c9
root_cause_static_replay,1,0,identical_key_sets_with_different_order
scientific_fields_missing_false,1,0,eight_fields_each
score_formula_difference_false,1,0,ordering_only
evaluation_view_opens_accounted,1,0,16
evaluation_label_rows_accounted,1,0,4746
construction_view_rows_accounted,1,0,4470
all_32_contexts_reached_in_memory,1,0,32
computed_rows_not_frozen,1,0,672_in_memory_zero_persisted
method_context_table_absent,1,0,zero_frozen_rows
primary_comparison_table_absent,1,0,zero_frozen_rows
LOTO_table_absent,1,0,zero_frozen_rows
Q1_Q2_not_executed,1,0,failure_before_classify_comparisons
maxT_not_executed,1,0,failure_before_classify_comparisons
LOTO_not_executed,1,0,failure_before_classify_comparisons
nonblocker_taxonomy_not_executed,1,0,only_blocker_precedence_applied
same_label_oracle_zero,1,0,route_descriptor_absent
target4_primary_zero,1,0,primary_routes_exclude_target4
training_forward_reinference_GPU_zero,1,0,0_0_0_0
authorization_consumed_and_closed,1,0,job_894958
same_protocol_retry_forbidden,1,0,post_evaluation_failure_rule
no_C81_A_B_C_D_claim,1,0,all_components_blocked
primary_taxonomy_exact,1,0,C81-E_protocol_input_implementation_or_provenance_blocker
C82_not_authorized,1,0,false
