check_id,passed,blocking,evidence
primary_gate_exact,1,0,C81-E_protocol_input_implementation_or_provenance_blocker
report_markdown_gate_exact,1,0,C81_AAAI_BASELINE_COMPARISON.md
report_json_gate_exact,1,0,C81_AAAI_BASELINE_COMPARISON.json
machine_blocker_hash_exact,1,0,e98bc3f1f0228a40508459a8fe5d4dd3bbc4cf646727fb5ff5e7c5c7084e00f7
machine_blocker_commit_preserved,1,0,8801b1c24a939d694efc20972ee89f011ac282c6
scientific_red_team_complete,1,0,36/36_PASS
authorization_was_direct_and_bound,1,0,commit_102e466_preceded_job_894958
authorization_consumed_and_inactive,1,0,job_894958
frozen_selection_identity_preserved,1,0,4677ed3aba7758ea0008c2093b44d6fb81d425930727e5941950179737ebd519
selection_recomputation_zero,1,0,forbidden_by_lock_f82ffa4
failed_job_preserved,1,0,894958_FAILED_exit_1:0
root_cause_exact,1,0,identical_field_set_different_dictionary_key_order
evaluation_reads_disclosed,1,0,4746_rows_across_16_views
construction_reads_disclosed,1,0,4470_rows_across_16_views
all_contexts_reached_in_memory,1,0,32
in_memory_rows_not_reconstructed,1,0,672_computed_0_frozen
paper_result_tables_blocked,1,0,12/12_NOT_EMITTED
Q1_blocked,1,0,no_frozen_result
Q2_blocked,1,0,no_frozen_result
Q3_blocked,1,0,no_frozen_result
Q4_blocked,1,0,no_frozen_result
Q5_blocked,1,0,no_frozen_result
all_registry_entries_accounted,1,0,34/34
selection_methods_accounted,1,0,19/19
target4_primary_zero,1,0,0
same_label_oracle_zero,1,0,0
training_forward_reinference_GPU_zero,1,0,0|0|0|0
same_protocol_retry_forbidden,1,0,post_evaluation_failure_rule
no_C81_A_B_C_D_claim,1,0,all_nonblocker_taxonomies_unavailable
C80E_remains_latest_science,1,0,C80-A_existing_field_frontier
no_external_or_deployment_claim,1,0,claim_boundary_preserved
C82_not_authorized,1,0,false
focused_regression_pass,1,0,48_job_894970
C65_C81E_regression_pass,1,0,417_pass_1_skip_3_deselected_job_894971
C23_C81E_regression_pass,1,0,828_pass_1_skip_3_deselected_job_894972
full_OACI_regression_pass,1,0,1752_pass_1_skip_3_deselected_job_894973
conditional_skip_reason_exact,1,0,C78F_already_passed_red-team_and_finalized
historical_deselections_exact,1,0,three_C79P_preauthorization_state_tests
all_regression_stderr_empty,1,0,4/4
tracked_payload_policy_pass,1,0,max_tracked_file_below_50_MiB
