role,path,expected_sha256,observed_sha256,passed
protocol,oaci/reports/C81_AAAI_BASELINE_COMPARISON_PROTOCOL.json,cbdb42f54956b685c27a1718c37d7c56c513084817a5c69fb29f06bfb67ad3ee,cbdb42f54956b685c27a1718c37d7c56c513084817a5c69fb29f06bfb67ad3ee,1
analysis_lock,oaci/reports/C81P_ANALYSIS_EXECUTION_LOCK.json,b383707f58063c10f719194a995ab34094f6dcefe08c1e71837644db83dc94f1,b383707f58063c10f719194a995ab34094f6dcefe08c1e71837644db83dc94f1,1
method_registry,oaci/reports/C81_BASELINE_METHOD_REGISTRY.json,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
real_adapter,oaci/conditioned_ceiling_coverage/c81_baseline_comparison.py,f538fd9c930514dfb2c3a49cc0f916e083723de5c8c491cc1977e27dd4109af6,f538fd9c930514dfb2c3a49cc0f916e083723de5c8c491cc1977e27dd4109af6,1
synthetic_adapter,oaci/conditioned_ceiling_coverage/c81_synthetic_baseline_benchmark.py,bd9e69691917b9e57f2ceaa50c52addb8dd373b4c36f97ce4335cceb672bd6e3,bd9e69691917b9e57f2ceaa50c52addb8dd373b4c36f97ce4335cceb672bd6e3,1
reference_fidelity,oaci/reports/c81p_tables/baseline_reference_fidelity.csv,2fefbe67bf99d51ad67bd542a1b9249ac32be5266b865c0740550e097abd38e2,2fefbe67bf99d51ad67bd542a1b9249ac32be5266b865c0740550e097abd38e2,1
family_representatives,oaci/reports/c81p_tables/primary_family_representatives.csv,2473272bfdb6047f7fd4fc3bb4b5089642dfb9e8a7d133412bcee0e247d38771,2473272bfdb6047f7fd4fc3bb4b5089642dfb9e8a7d133412bcee0e247d38771,1
method_hyperparameters,oaci/reports/c81p_tables/method_hyperparameter_registry.csv,745c93271ea059fb7f7cab889dee7ad5506a4004d53b14c5edec0b2d9a480246,745c93271ea059fb7f7cab889dee7ad5506a4004d53b14c5edec0b2d9a480246,1
class_priors,oaci/reports/c81p_tables/class_prior_registry.csv,1d7a9c92e2d4264eb14f8b30d872921b97c0e320dd0af8c3e9562ff41a39e19a,1d7a9c92e2d4264eb14f8b30d872921b97c0e320dd0af8c3e9562ff41a39e19a,1
score_directions,oaci/reports/c81p_tables/score_direction_registry.csv,a1c29e9d531fd5e0044d0dfae67389eb5122c94d6ffa44d999739b64b1d88c64,a1c29e9d531fd5e0044d0dfae67389eb5122c94d6ffa44d999739b64b1d88c64,1
tie_randomness,oaci/reports/c81p_tables/tie_and_randomness_registry.csv,30acf56364c6e7dcda1767628e54ce9d800744d495757dc31785f2232ff75ebf,30acf56364c6e7dcda1767628e54ce9d800744d495757dc31785f2232ff75ebf,1
comparative_estimands,oaci/reports/c81p_tables/comparative_estimand_registry.csv,dd6ede9125ea8a8765e2321edaff446c9209df87123222c726cf63a21e456a23,dd6ede9125ea8a8765e2321edaff446c9209df87123222c726cf63a21e456a23,1
multiplicity_inference,oaci/reports/c81p_tables/multiplicity_and_inference_registry.csv,d7006b4556f14e5ba5f110b097916016022a604a255d4251ac8c7293e7e9616b,d7006b4556f14e5ba5f110b097916016022a604a255d4251ac8c7293e7e9616b,1
