artifact_class,path,sha256,bytes,status
machine_blocker,oaci/reports/C81_FROZEN_FIELD_BASELINE_COMPARISON.json,e98bc3f1f0228a40508459a8fe5d4dd3bbc4cf646727fb5ff5e7c5c7084e00f7,3280,FROZEN
main_report_markdown,oaci/reports/C81_AAAI_BASELINE_COMPARISON.md,cdd58617edf8a4016d00992f0b2c3d9993bd2d52795ee4d65771f4f5cfaccaf9,3826,FROZEN
main_report_json,oaci/reports/C81_AAAI_BASELINE_COMPARISON.json,a43795eeb0d454cecd6bec40e2aab64a9a304cdcbb4e8524fee41bf1be65cfb1,1357,FROZEN
authorization_record,oaci/reports/C81E_PI_AUTHORIZATION_RECORD.json,c7304e0e3e8129ff3484c2e5dcfebd2f43fba5f77817e35ad142f389392bf521,4367,CONSUMED_INACTIVE
authorization_binding,oaci/reports/c81e_authorization_binding.json,bc1c479f1b3cf4658b1c8fd8320be00dc2e096dd22bf3f0f48c05bdda59100cd,2062,CONSUMED_INACTIVE
blocker_evidence,oaci/reports/c81e_tables/c81e_blocker_evidence.csv,ffcccea3265cb9ff6be71eaa5026703de9ba3edb24c38453e23b936276dbcee0,1410,FROZEN
attempt_ledger,oaci/reports/c81e_tables/failure_and_repair_ledger.csv,8d40225cd736405fd310eca2ed16ec37f38c21dff5e696007d2d9b4ac22f3a61,827,FROZEN
method_accounting,oaci/reports/c81e_tables/method_failure_and_availability.csv,f08410f3d4adcd649db59a035b8235ea0c300fbb736526956052635db9da1bef,4128,FROZEN
information_class_accounting,oaci/reports/c81e_tables/method_information_class_table.csv,092ba9747f863cb8b559323796d96c2526f9abc29cdb84d77ae802216c334801,2310,FROZEN
paper_table_status,oaci/reports/c81e_tables/paper_ready_result_table_status.csv,6575568072b72321af049d0b3ea99f9bc2e465ca8829e6c82c58a2002e74b6bd,1604,FROZEN_BLOCKED
registry_execution,oaci/reports/c81e_tables/registry_execution_ledger.csv,5a2868555d4f31bdf86587e9d34b8632d225678f1e643208eb52d57914d7993b,411,FROZEN_BLOCKED
scientific_red_team_report,oaci/reports/C81E_SCIENTIFIC_RED_TEAM.md,206f8431c315a74ccfdbefd555267c592f9e3cb4e5a07d7326665bef9c63febd,1508,PASS_36_OF_36
scientific_red_team_table,oaci/reports/c81e_tables/scientific_result_red_team.csv,73282713b073f5824e64e400aec7d8c4d77ce3629cd75a592421aaff9ae9a8d8,2264,PASS_36_OF_36
regression_report,oaci/reports/C81E_REGRESSION_VERIFICATION.md,55439eb12153a77a7076ff4fabca2f38c3ad6b24f35a02d09db9d103cd94172b,2230,PASS
regression_ledger,oaci/reports/c81e_tables/final_regression_ledger.csv,b9db3bce9c5343b7c206a365a646e3fca3991eee8d924d85ac9537689bd5b3d4,2035,PASS
final_report_red_team,oaci/reports/C81E_FINAL_REPORT_RED_TEAM.md,9efd378ca8984602b43ecf793ab79349c62af40eae2d4447e34353f0de051486,1564,PASS_40_OF_40
final_report_red_team_table,oaci/reports/c81e_tables/final_report_red_team.csv,0b0cbb6dabf2216906365005b2f1f9ce2359c1cae0774091780e8ffe23a29dd4,2252,PASS_40_OF_40
project_memory,oaci/reports/OACI_EEG_DG_PROJECT_MEMORY_THROUGH_C81E.md,dee3e2f7f118e458abec184f4b97fb88fb3d1746f8ac61ab6fce2f9fad08cacc,5474,FROZEN
