stage,view,allowed,access_before_preflight_commit,role,passed
selection,strict_source_trial_view,1,0,source_labels_and_outputs_only,1
selection,target_unlabeled_trial_view,1,0,target_outputs_and_frozen_features_without_labels,1
selection,target_construction_view,0,0,zero_label_methods_never_receive_construction_labels,1
selection,target_evaluation_view,0,0,evaluation_descriptor_unreachable,1
selection,same_label_oracle_view,0,0,physically_unreachable,1
evaluation,frozen_selection_manifest,1,0,content_addressed_read_only_selection,1
evaluation,target_evaluation_view,1,0,opened_only_after_committed_selection_freeze,1
evaluation,same_label_oracle_view,0,0,physically_unreachable,1
primary,target4,0,0,engineering_only,1
all,trial_id_and_row_order_as_features,0,0,join_split_and_dependence_keys_only,1
