check,passed
config_hash_unchanged,1
read_only_committed_artifacts,1
no_training_no_gpu_no_reinference,1
fixed_source_spaces_no_feature_selection,1
fixed_conditioning_groups,1
fixed_knn_and_epsilon_neighborhoods,1
self_label_excluded_from_local_purity,1
empty_neighborhoods_fallback_to_group_base_rate,1
group_conditioned_random_baselines,1
target_labels_diagnostic_only,1
no_target_labels_in_source_space_construction,1
no_bnci2014_004_no_seeds_3_4,1
no_selected_checkpoint_artifact,1
compact_json_no_row_level_payload,1
diagnostic_only_non_deployable,1
