case,established,evidence
R1_source_rank_pairwise_signal_real,1,"source_rank_auc=0.5904967774230292, selection_leakage_auc=0.49373160501299335"
R2_rank_to_topk_gap,1,"source_rank_top1_joint=0.5061728395061729, enrichment=1.1542183729112576, reliable_gate=0.7"
R3_source_rank_top1_improves_over_oaci_but_not_reliable,1,"top1_joint_gain_vs_oaci=0.06172839506172845, top1_joint_gain_vs_random=0.07644946147013176"
R4_source_rank_top1_reliable_diagnostic,0,"top1_joint=0.5061728395061729, enrichment=1.1542183729112576"
R5_gauge_breaks_source_rank_actionability,0,max_centered_gain=0.0
R6_dense_base_rate_limits_claim,1,"random_base=0.4297233780360411, source_gain_vs_random=0.07644946147013176"
R7_top_region_plateau_or_instability,1,"mean_plateau_size=2.191358024691358, low_margin_fraction=0.5370370370370371"
R8_leakage_blocks_rank_better_candidates,1,"leakage_blocks_fraction=0.5370370370370371, rank_better_fraction=0.5370370370370371"
R9_source_rank_escape_hatch_closed,1,source-rank top1/top-k remains below reliability gates; diagnostic only
R10_source_rank_escape_hatch_reopened_diagnostic_only,0,only active if R4 passes; it does not under current gates
