score,selection_rule,label,n_trajectories,mean_pairwise_auc_vs_target_utility,mean_hit_rate,mean_random_baseline,mean_enrichment_ratio,mean_regret_vs_target_oracle,non_source_only,diagnostic_ceiling
R_src,top1,primary_joint_good,162,0.5429152019943845,0.48148148148148145,0.4297233780360411,0.9057335244264088,0.7490703306616757,0,0
R_src,top1,pareto_good,162,0.5429152019943845,0.14814814814814814,0.1377191744332418,0.8662037037037036,0.7490703306616757,0,0
R_src,top1,preference_robust_better_candidate,162,0.5429152019943845,0.018518518518518517,0.03019713146878921,0.5263157894736842,0.7490703306616757,0,0
R_src,top3,primary_joint_good,162,0.5429152019943845,0.5308641975308642,0.4297233780360411,1.4737153190335905,0.3651092658236947,0,0
R_src,top3,pareto_good,162,0.5429152019943845,0.2037037037037037,0.1377191744332418,1.4056069958847734,0.3651092658236947,0,0
R_src,top3,preference_robust_better_candidate,162,0.5429152019943845,0.012345679012345678,0.03019713146878921,0.4649122807017543,0.3651092658236947,0,0
R_src,top5,primary_joint_good,162,0.5429152019943845,0.5037037037037037,0.4297233780360411,1.3597196465738484,0.2718686573468256,0,0
R_src,top5,pareto_good,162,0.5429152019943845,0.18888888888888888,0.1377191744332418,1.2563627730294398,0.2718686573468256,0,0
R_src,top5,preference_robust_better_candidate,162,0.5429152019943845,0.011111111111111113,0.03019713146878921,0.38947368421052636,0.2718686573468256,0,0
R_src,top_decile,primary_joint_good,162,0.5429152019943845,0.5231481481481481,0.4297233780360411,1.2762430144618946,0.4058304164229965,0,0
R_src,top_decile,pareto_good,162,0.5429152019943845,0.19753086419753085,0.1377191744332418,1.390329218106996,0.4058304164229965,0,0
R_src,top_decile,preference_robust_better_candidate,162,0.5429152019943845,0.013888888888888888,0.03019713146878921,0.48026315789473684,0.4058304164229965,0,0
target_grouped_diagnostic_ceiling,top1,primary_joint_good,162,1.0,0.8518518518518519,0.4297233780360411,3.8968176037457822,0.0,1,1
target_grouped_diagnostic_ceiling,top1,pareto_good,162,1.0,1.0,0.1377191744332418,11.006350902184236,0.0,1,1
target_grouped_diagnostic_ceiling,top1,preference_robust_better_candidate,162,1.0,0.09259259259259259,0.03019713146878921,3.3421052631578947,0.0,1,1
target_grouped_diagnostic_ceiling,top3,primary_joint_good,162,1.0,0.7901234567901234,0.4297233780360411,2.928233995551903,0.0,1,1
target_grouped_diagnostic_ceiling,top3,pareto_good,162,1.0,0.6172839506172839,0.1377191744332418,5.4228038936372265,0.0,1,1
