seed,target,level,regime,singleton_rows,unique_checkpoint_ids,all_pt_json_verified,min_candidate_order,max_candidate_order
0,1,0,S0_full_support,20,20,1,0,19
0,1,0,S2_rare_cells,20,20,1,0,19
0,1,0,S3_nonestimable_cells,20,20,1,0,19
0,1,1,S0_full_support,20,20,1,0,19
0,1,1,S2_rare_cells,20,20,1,0,19
0,1,1,S3_nonestimable_cells,20,20,1,0,19
0,2,0,S0_full_support,27,27,1,0,26
0,2,0,S2_rare_cells,27,27,1,0,26
0,2,0,S3_nonestimable_cells,27,27,1,0,26
0,2,1,S0_full_support,28,28,1,0,27
0,2,1,S2_rare_cells,28,28,1,0,27
0,2,1,S3_nonestimable_cells,28,28,1,0,27
0,3,0,S0_full_support,23,23,1,0,22
0,3,0,S2_rare_cells,23,23,1,0,22
0,3,0,S3_nonestimable_cells,23,23,1,0,22
0,3,1,S0_full_support,25,25,1,0,24
0,3,1,S2_rare_cells,25,25,1,0,24
0,3,1,S3_nonestimable_cells,25,25,1,0,24
0,4,0,S0_full_support,24,24,1,0,23
0,4,0,S2_rare_cells,24,24,1,0,23
0,4,0,S3_nonestimable_cells,24,24,1,0,23
0,4,1,S0_full_support,36,36,1,0,35
0,4,1,S2_rare_cells,36,36,1,0,35
0,4,1,S3_nonestimable_cells,36,36,1,0,35
0,5,0,S0_full_support,20,20,1,0,19
0,5,0,S2_rare_cells,20,20,1,0,19
0,5,0,S3_nonestimable_cells,20,20,1,0,19
0,5,1,S0_full_support,22,22,1,0,21
0,5,1,S2_rare_cells,22,22,1,0,21
0,5,1,S3_nonestimable_cells,22,22,1,0,21
0,6,0,S0_full_support,22,22,1,0,21
0,6,0,S2_rare_cells,22,22,1,0,21
0,6,0,S3_nonestimable_cells,22,22,1,0,21
0,6,1,S0_full_support,21,21,1,0,20
0,6,1,S2_rare_cells,21,21,1,0,20
0,6,1,S3_nonestimable_cells,21,21,1,0,20
0,7,0,S0_full_support,21,21,1,0,20
0,7,0,S2_rare_cells,21,21,1,0,20
0,7,0,S3_nonestimable_cells,21,21,1,0,20
0,7,1,S0_full_support,24,24,1,0,23
0,7,1,S2_rare_cells,24,24,1,0,23
0,7,1,S3_nonestimable_cells,24,24,1,0,23
0,8,0,S0_full_support,20,20,1,0,19
0,8,0,S2_rare_cells,20,20,1,0,19
0,8,0,S3_nonestimable_cells,20,20,1,0,19
0,8,1,S0_full_support,24,24,1,0,23
0,8,1,S2_rare_cells,24,24,1,0,23
0,8,1,S3_nonestimable_cells,24,24,1,0,23
0,9,0,S0_full_support,24,24,1,0,23
0,9,0,S2_rare_cells,24,24,1,0,23
0,9,0,S3_nonestimable_cells,24,24,1,0,23
0,9,1,S0_full_support,19,19,1,0,18
