field,source_observable,target_label_dependent,requires_forward,available_in_committed_summary_artifacts,available_in_current_c66_cache,available_after_authorized_microcampaign
trial_cache_id,1,0,0,0,0,1
checkpoint_id,1,0,0,1,0,1
checkpoint_path_hash,1,0,0,0,0,1
checkpoint_sidecar_hash,1,0,0,0,0,1
dataset_id,1,0,0,0,0,1
subject_id,1,0,0,0,0,1
target_id,1,0,0,1,0,1
source_or_target_role,1,0,0,0,0,1
trajectory_id,1,0,0,1,0,1
seed,1,0,0,1,0,1
fold,1,0,0,0,0,1
regime,1,0,0,1,0,1
epoch_or_step,1,0,0,0,0,1
trial_id,1,0,0,0,0,1
class_label_quarantined,0,1,0,0,0,1
y_true_quarantined,0,1,0,0,0,1
y_pred,0,0,1,0,0,1
logits,0,0,1,0,0,1
probabilities,0,0,1,0,0,1
confidence,0,0,1,0,0,1
margin,0,0,1,0,0,1
entropy,0,0,1,0,0,1
split_role_for_future_split_label,1,0,0,0,0,1
availability_tags,1,0,0,0,0,1
representation_z,0,0,1,0,0,1
prelogit,0,0,1,0,0,1
Wz,0,0,1,0,0,1
class_conditioned_confidence,0,0,1,0,0,1
layer_hook_name,1,0,0,0,0,0
