field,category,required_minimal,target_label_dependent,requires_forward,large_payload_ref_only,available_now,available_after_authorized_reinfer
trial_cache_id,identity,1,0,0,0,0,1
checkpoint_id,checkpoint,1,0,0,0,0,1
checkpoint_path_hash,checkpoint,1,0,0,0,0,1
checkpoint_sidecar_hash,checkpoint,1,0,0,0,0,1
dataset_id,trial_identity,1,0,0,0,0,1
subject_id,trial_identity,1,0,0,0,0,1
target_id,split,1,0,0,0,0,1
source_or_target_role,split,1,0,0,0,0,1
trajectory_id,checkpoint,1,0,0,0,0,1
seed,checkpoint,1,0,0,0,0,1
fold,checkpoint,1,0,0,0,0,1
regime,checkpoint,1,0,0,0,0,1
epoch_or_step,checkpoint,1,0,0,0,0,1
trial_id,trial_identity,1,0,0,0,0,1
class_label_quarantined,label,1,1,0,0,0,1
y_true_quarantined,label,1,1,0,0,0,1
y_pred,prediction,1,0,1,0,0,1
logits,prediction,1,0,1,0,0,1
probabilities,prediction,1,0,1,0,0,1
confidence,prediction,1,0,1,0,0,1
margin,prediction,1,0,1,0,0,1
entropy,prediction,1,0,1,0,0,1
split_role_for_future_split_label,split,1,0,0,0,0,1
availability_tags,metadata,1,0,0,0,0,1
representation_z,optional_hook,0,0,1,1,0,1
prelogit,optional_hook,0,0,1,1,0,1
Wz,optional_hook,0,0,1,1,0,1
class_conditioned_confidence,optional_hook,0,0,1,0,0,1
layer_hook_name,optional_hook,0,0,0,0,0,0
