pattern,total_hits,affirmative_hits,files,passed
source-only rescue,0,0,,1
OACI rescue,0,0,,1
deployable selector,0,0,,1
checkpoint recommendation,0,0,,1
selected_candidate_id,0,0,,1
chosen checkpoint,0,0,,1
few-label sufficiency,0,0,,1
EEG distribution theorem,0,0,,1
minimax theorem,0,0,,1
Le Cam theorem,0,0,,1
Fano theorem,0,0,,1
full conditional CS estimator supported,0,0,,1
full time-series conditional CS supported,0,0,,1
target-derived feature described as source-only,0,0,,1
dynamic source rule reads target endpoint scalar,0,0,,1
same-label endpoint oracle available at selection time,0,0,,1
template-only claimed to beat max null p95,0,0,,1
manuscript drafting,1,0,oaci/reports/C63_TRAJECTORY_DYNAMIC_OBSERVABILITY.md,1
M1 started,0,0,,1
training run started,0,0,,1
silent re-inference,0,0,,1
GPU required,0,0,,1
BNCI2014_004 used,0,0,,1
"seeds [3,4] used",0,0,,1
