comparison_id,x1_base,x2_increment,hit_before,hit_after,hit_gain,tv_proxy,js_bits,cs_binary_proxy,kernel_proxy_bw_0p10,endpoint_closure_fraction,beats_max_null_p95,screen_off_endpoint,interpretation,synthetic_model_only
S0_static_rank_iid_gauge_dynamic_to_template,source_dynamic,template_or_coupled_gauge,0.5061728395061729,0.7037037037037037,0.19753086419753085,0.19753086419753085,0.02968532152002179,0.0718403965391381,0.8578570610755549,0.4507042253521127,0,0,template/coupled gauge partial increment,1
S0_static_rank_iid_gauge_dynamic_template_to_endpoint,source_dynamic+template,endpoint_scalar,0.7037037037037037,0.9444444444444444,0.2407407407407407,0.2407407407407407,0.07795303094563394,0.058866670575405296,0.944855883051652,1.0,1,0,endpoint increment after dynamic/template,1
S1_smooth_rank_drift_iid_gauge_dynamic_to_template,source_dynamic,template_or_coupled_gauge,0.5740740740740741,0.7037037037037037,0.12962962962962965,0.12962962962962965,0.01318872285962347,0.029031235344538758,0.5683723759812572,0.3500000000000001,0,0,template/coupled gauge partial increment,1
S1_smooth_rank_drift_iid_gauge_dynamic_template_to_endpoint,source_dynamic+template,endpoint_scalar,0.7037037037037037,0.9444444444444444,0.2407407407407407,0.2407407407407407,0.07795303094563394,0.058866670575405296,0.944855883051652,1.0,1,0,endpoint increment after dynamic/template,1
S2_source_dynamics_predict_rank_not_gauge_dynamic_to_template,source_dynamic,template_or_coupled_gauge,0.5740740740740741,0.7037037037037037,0.12962962962962965,0.12962962962962965,0.01318872285962347,0.029031235344538758,0.5683723759812572,0.3500000000000001,0,0,template/coupled gauge partial increment,1
S2_source_dynamics_predict_rank_not_gauge_dynamic_template_to_endpoint,source_dynamic+template,endpoint_scalar,0.7037037037037037,0.9444444444444444,0.2407407407407407,0.2407407407407407,0.07795303094563394,0.058866670575405296,0.944855883051652,1.0,1,0,endpoint increment after dynamic/template,1
S3_hidden_gauge_dynamics_independent_dynamic_to_template,source_dynamic,template_or_coupled_gauge,0.5061728395061729,0.7037037037037037,0.19753086419753085,0.19753086419753085,0.02968532152002179,0.0718403965391381,0.8578570610755549,0.4507042253521127,0,0,template/coupled gauge partial increment,1
S3_hidden_gauge_dynamics_independent_dynamic_template_to_endpoint,source_dynamic+template,endpoint_scalar,0.7037037037037037,0.9444444444444444,0.2407407407407407,0.2407407407407407,0.07795303094563394,0.058866670575405296,0.944855883051652,1.0,1,0,endpoint increment after dynamic/template,1
S4_gauge_partially_source_coupled_dynamic_to_template,source_dynamic,template_or_coupled_gauge,0.720679012345679,0.720679012345679,0.0,0.0,0.0,-0.0,0.0,0.0,0,0,template/coupled gauge partial increment,1
S4_gauge_partially_source_coupled_dynamic_template_to_endpoint,source_dynamic+template,endpoint_scalar,0.720679012345679,0.9444444444444444,0.22376543209876543,0.22376543209876543,0.06977725080885505,0.04916024329073563,0.918205758087381,1.0,1,0,endpoint increment after dynamic/template,1
S5_endpoint_oracle_injected_dynamic_to_template,source_dynamic,template_or_coupled_gauge,0.5740740740740741,0.720679012345679,0.14660493827160492,0.14660493827160492,0.017072483934324922,0.03650582618636967,0.6585829048748777,0.3958333333333333,0,0,template/coupled gauge partial increment,1
S5_endpoint_oracle_injected_dynamic_template_to_endpoint,source_dynamic+template,endpoint_scalar,0.720679012345679,0.9444444444444444,0.22376543209876543,0.22376543209876543,0.06977725080885505,0.04916024329073563,0.918205758087381,1.0,1,0,endpoint increment after dynamic/template,1
