setting,comparison,coverage,estimator_stat,hit_gain_proxy,endpoint_dominates,dynamic_near_static,template_below_max_null_p95,status
finite_partition_raw,source_dynamic,1.0,0.009104126354836603,0.0679012345679012,0,1,1,supported
finite_partition_raw,dynamic_template,1.0,0.0004138658524746864,0.016975308641975273,0,0,1,supported
finite_partition_raw,endpoint_after_dynamic_template,1.0,0.04916024329073563,0.22376543209876543,1,0,1,supported
laplace_alpha_1,source_dynamic,1.0,0.008996590518047931,0.06748466257668717,0,1,1,supported
laplace_alpha_1,dynamic_template,1.0,0.0004108399600198789,0.016871165644171682,0,0,1,supported
laplace_alpha_1,endpoint_after_dynamic_template,1.0,0.048984520232919083,0.22239263803680986,1,0,1,supported
laplace_alpha_5,source_dynamic,1.0,0.008584365666987628,0.06586826347305386,0,1,1,supported
laplace_alpha_5,dynamic_template,1.0,0.0003989067127705877,0.01646706586826341,0,0,1,supported
laplace_alpha_5,endpoint_after_dynamic_template,1.0,0.04826200504613765,0.21706586826347296,1,0,1,supported
support_threshold_min3,source_dynamic,0.9220324781574136,0.008996590518047931,0.06748466257668717,0,1,1,supported
support_threshold_min3,dynamic_template,0.9220324781574136,0.0004108399600198789,0.016871165644171682,0,0,1,supported
support_threshold_min3,endpoint_after_dynamic_template,0.9220324781574136,0.048984520232919083,0.22239263803680986,1,0,1,supported
support_threshold_min5,source_dynamic,0.9038061826403693,0.008890885831970504,0.06707317073170727,0,1,1,supported
support_threshold_min5,dynamic_template,0.9038061826403693,0.0004078307607904979,0.0167682926829269,0,0,1,supported
support_threshold_min5,endpoint_after_dynamic_template,0.9038061826403693,0.048806740658719976,0.22103658536585358,1,0,1,supported
hankel_window_k1,source_dynamic,0.9574132492113565,0.008996590518047931,0.06748466257668717,0,1,1,support_proxy
hankel_window_k1,dynamic_template,0.9574132492113565,0.0004108399600198789,0.016871165644171682,0,0,1,support_proxy
hankel_window_k1,endpoint_after_dynamic_template,0.9574132492113565,0.048984520232919083,0.22239263803680986,1,0,1,support_proxy
hankel_window_k5,source_dynamic,0.786540483701367,0.008890885831970504,0.06707317073170727,0,1,1,support_proxy
hankel_window_k5,dynamic_template,0.786540483701367,0.0004078307607904979,0.0167682926829269,0,0,1,support_proxy
hankel_window_k5,endpoint_after_dynamic_template,0.786540483701367,0.048806740658719976,0.22103658536585358,1,0,1,support_proxy
summary_kernel_bw_0p10,source_dynamic,1.0,0.20588650154420662,0.0679012345679012,0,1,1,proxy_only
summary_kernel_bw_0p10,dynamic_template,1.0,0.014304755856747065,0.016975308641975273,0,0,1,proxy_only
summary_kernel_bw_0p10,endpoint_after_dynamic_template,1.0,0.918205758087381,0.22376543209876543,1,0,1,proxy_only
