tag,rotation,subject_nll,subject_accuracy_diagnostic,pairwise_subject_auc,pairwise_subject_margin
H2000_s0,0,0.18745928333253667,0.9670658682634731,0.998732439651761,0.9670369923114777
H2000_s0,1,0.2658855767892468,0.9413489736070382,0.9988758898879783,0.9603188325251851
H2000_s0,2,0.33144785802856314,0.9224137931034483,0.9980749489831299,0.9449560248426029
H2000_s0,3,0.3401696236582474,0.9327485380116959,0.9930834650465356,0.9508292792098862
H2000_s0,4,0.2671079556876791,0.9410029498525073,0.9971976732601985,0.9618695218648229
H2000_s0,5,0.31654521880870623,0.9333333333333333,0.9950196234054804,0.9506791574614388
H2000_s0,6,0.19363076235658405,0.9792899408284024,0.9990560640732264,0.9603724852204323
H2000_s0,7,0.24906245180242656,0.9486404833836858,0.9980935149398356,0.9562464186123439
H2000_s0,8,0.20638122415513216,0.9530791788856305,0.9989120219025825,0.9631793722510338
H2000_s0,9,0.13574284447979534,0.9882697947214076,0.9999661796536797,0.9726317226886749
