tag,rotation,projection_overlap_rank4,subject_heldout_captured_energy,task_heldout_captured_energy,subspace_stable
released,0,0.025540590717629895,0.34011807638146546,0.44842873093583885,True
released,1,0.023662318592274592,0.33209291303247507,0.44347025193270456,True
released,2,0.022726602370829418,0.30386795914898496,0.4103715662969991,True
released,3,0.022794432489934773,0.30969249489451733,0.42126058007298767,True
released,4,0.02439890327728277,0.3459202086586998,0.4090063769880924,True
released,5,0.02075277525353627,0.34974224711977175,0.41057535170947557,True
released,6,0.019458575552709176,0.36687627762182917,0.4090713928057146,True
released,7,0.0271888146643814,0.374294806820739,0.4070077712240058,True
released,8,0.028299207309778723,0.4057657490059128,0.4799242540967064,True
released,9,0.023334913014762773,0.39497429133467044,0.46710725707817286,True
