tag,rotation,source_subjects,val_subject,test_subject,downstream_seed,epochs_run,selected_epoch,selection_metric,selected_val_kappa,selected_val_nll,encoder_frozen,encoder_optimizer_created
random,0,3;4;5;6;7;8;9;10,1,2,0,50,12,source_val_kappa_only,0.5850152442035809,0.7962720294500663,True,False
random,0,3;4;5;6;7;8;9;10,1,2,1,50,17,source_val_kappa_only,0.619845183328283,0.7566749530357892,True,False
random,0,3;4;5;6;7;8;9;10,1,2,2,50,20,source_val_kappa_only,0.6084110340016098,0.8215688177866093,True,False
random,1,1;4;5;6;7;8;9;10,2,3,0,50,10,source_val_kappa_only,0.47127762008956553,1.0449607893885144,True,False
random,1,1;4;5;6;7;8;9;10,2,3,1,50,12,source_val_kappa_only,0.4331459609675994,1.0750844774708916,True,False
random,1,1;4;5;6;7;8;9;10,2,3,2,50,5,source_val_kappa_only,0.4201602108156025,1.0561299093565324,True,False
random,2,1;2;5;6;7;8;9;10,3,4,0,50,48,source_val_kappa_only,0.5881916045494,0.8341391826928684,True,False
random,2,1;2;5;6;7;8;9;10,3,4,1,50,14,source_val_kappa_only,0.5989078498293515,0.8185086222318024,True,False
random,2,1;2;5;6;7;8;9;10,3,4,2,50,9,source_val_kappa_only,0.5609815640286078,0.827244616370539,True,False
random,3,1;2;3;6;7;8;9;10,4,5,0,50,19,source_val_kappa_only,0.531561335207088,0.9532792092886193,True,False
random,3,1;2;3;6;7;8;9;10,4,5,1,50,25,source_val_kappa_only,0.5330866793179243,1.02384254152896,True,False
random,3,1;2;3;6;7;8;9;10,4,5,2,50,21,source_val_kappa_only,0.564929667445977,0.9652814389523057,True,False
random,4,1;2;3;4;7;8;9;10,5,6,0,50,12,source_val_kappa_only,0.6150743120425363,0.8390239858225257,True,False
random,4,1;2;3;4;7;8;9;10,5,6,1,50,6,source_val_kappa_only,0.5947971759490602,0.8377213855229363,True,False
random,4,1;2;3;4;7;8;9;10,5,6,2,50,7,source_val_kappa_only,0.5955673768094066,0.7816909333607546,True,False
random,5,1;2;3;4;5;8;9;10,6,7,0,50,24,source_val_kappa_only,0.5121540819085965,0.965766449139164,True,False
random,5,1;2;3;4;5;8;9;10,6,7,1,50,40,source_val_kappa_only,0.5298418755181749,1.0126692147494556,True,False
random,5,1;2;3;4;5;8;9;10,6,7,2,50,17,source_val_kappa_only,0.4970222643619868,0.949637650612142,True,False
random,6,1;2;3;4;5;6;9;10,7,8,0,50,16,source_val_kappa_only,0.5936458992924594,0.7845405541035534,True,False
random,6,1;2;3;4;5;6;9;10,7,8,1,50,10,source_val_kappa_only,0.5951259833418028,0.8174764865868867,True,False
random,6,1;2;3;4;5;6;9;10,7,8,2,50,17,source_val_kappa_only,0.5982234457287463,0.8397854484956774,True,False
random,7,1;2;3;4;5;6;7;10,8,9,0,50,30,source_val_kappa_only,0.685103826040764,0.6580728958596463,True,False
random,7,1;2;3;4;5;6;7;10,8,9,1,50,7,source_val_kappa_only,0.6847322427826759,0.6268508142078081,True,False
random,7,1;2;3;4;5;6;7;10,8,9,2,50,23,source_val_kappa_only,0.6831256410977518,0.6578379649265094,True,False
random,8,1;2;3;4;5;6;7;8,9,10,0,50,7,source_val_kappa_only,0.5255759793728687,1.0110905505410517,True,False
random,8,1;2;3;4;5;6;7;8,9,10,1,50,13,source_val_kappa_only,0.5200544247946806,0.9423864397301095,True,False
random,8,1;2;3;4;5;6;7;8,9,10,2,50,24,source_val_kappa_only,0.5112364080809167,1.0231851723396963,True,False
random,9,2;3;4;5;6;7;8;9,10,1,0,50,15,source_val_kappa_only,0.47571607017727124,0.970589224240315,True,False
random,9,2;3;4;5;6;7;8;9,10,1,1,50,6,source_val_kappa_only,0.4328846071136726,1.0536276491253131,True,False
random,9,2;3;4;5;6;7;8;9,10,1,2,50,9,source_val_kappa_only,0.4600627558639018,1.0133241850446901,True,False
