tag,rotation,projection_overlap_rank4,subject_heldout_captured_energy,task_heldout_captured_energy,subspace_stable
H2000_s0,0,0.019748794975603355,0.3369399407491874,0.4805172284593099,True
H2000_s0,1,0.02173636449914196,0.3317508514254757,0.46364682801122703,True
H2000_s0,2,0.019642702215700476,0.3075845880034457,0.43291905278076637,True
H2000_s0,3,0.023257615950537026,0.31460900345352166,0.4486190499376702,True
H2000_s0,4,0.0234945781605622,0.3392439725403643,0.4700048376884608,True
H2000_s0,5,0.019843111371765157,0.34588508387664196,0.47745826338757297,True
H2000_s0,6,0.016365821828161528,0.35735303950230646,0.4592265880114187,True
H2000_s0,7,0.024515426763676202,0.39229329064557145,0.44592408238402337,True
H2000_s0,8,0.02629824563814554,0.4350457493746382,0.531852474519551,True
H2000_s0,9,0.019833783870777888,0.39097556299996516,0.5160839312859644,True
