unit_index,hardware_group,hardware_group_index,dataset,target_subject,source_seed,expected_source_model_sha256,split_hash,n_adapt,n_eval
0,V100,0,BNCI2014_001,1,0,f21981a86a61ca0c5129c642a5ecaee301fff0a98466a3fa09d7f89c719b3c43,b8e51c299ad88af08f8949349d30ce315705baad3ed28147c2a0d2776a3f8525,72,72
1,V100,1,BNCI2014_001,1,1,36153ae2793a3942df4c9084cec68ab6a5a2701128aa1d3b7970e63898675fb8,b5d0896fafa618c4b8eec7427e87f915c98494fccdf65b9d6aca0bf922eb4204,72,72
2,V100,2,BNCI2014_001,1,2,263d6dffeef755cbce375d17ed033085b0ab86231ae4e93294ac36cae0f01546,ed30055c91dbdc5b775a4daf6aaefc62bf3658f8a1554e062c7cbe7d3bfdda8e,72,72
3,V100,3,BNCI2014_001,2,0,28d23c7b604e6435a34290949cd52d2bb7c453e60454894db42f0e5625935e52,332a2bbd296b1be8e529ba69d1db35fdb05fea11b5a8b9720e6642abfb6d9130,72,72
4,V100,4,BNCI2014_001,2,1,549e2072e116ba1f037b8669659113556c02adc789f93df9e7d2a0639581e596,1382e7245a9bd26c862a489b0bda3feeacc786797bccf17da3bb8f0619998c16,72,72
5,V100,5,BNCI2014_001,2,2,334db7f441e0b7280306675dfb7e4104a6ba06d9a90879407eff21864df63dbe,3c475594b97b2ba186609efd96a36a60c6a85c4fd8137f39b4cd2a27b36cf575,72,72
6,V100,6,BNCI2014_001,3,0,f556805926d9adc269052f1a3e133f24bde3b3bf0b75356287fb864c0a67c836,8676659621c5f1bc9cc4c9876ab346828ad60d84eaba97ac7e6552e8c9ccdd66,72,72
7,V100,7,BNCI2014_001,3,1,7ff62a49d1a4480d64f2bbcead046437b24e2df30f0e168db23ece878e40f9eb,b86856052f3494d68518bc6f85291a2e812e310832eafa99232894eb20088ecd,72,72
8,V100,8,BNCI2014_001,3,2,0751afce1fe3cd51995c8349f2e168cd3ec8cb4a53998d7121bdff5ebb29c0b9,c52c4a39279eca66998ea2a28343878c10f06e34453a3266b0ae0259776551ec,72,72
9,V100,9,BNCI2014_001,4,0,223a36e392a0fa4084684021141c9666f4d54661a37b67e4ba86aae3214641c2,1946831831387aca807e3392b9e7b8c54678c253cc36f954abd901f735cb4b04,72,72
10,V100,10,BNCI2014_001,4,1,c0d3b32968996abd63addd51756e74be80564dcc12c340b1b4eb1c60ed1e3dec,8f8b12d861c539e17cc5abadeed2012fa8fa9d164f165b78372624cc0e457135,72,72
11,V100,11,BNCI2014_001,4,2,359085e06589c3e2d948de33ed553798d8f46bb03e34d2048b49171557895eb7,2119330385b098e769819001faa3fdf9b352b5644ffe6264b14c7c8edc335e1d,72,72
12,V100,12,BNCI2014_001,5,0,73719d70c7bf765d344784dc62e2bef8164f2c350834059a6e5b1e78e145bbc6,39b3decd9f52be85fd842c70d3e977a61d6c277983122fbda502164746d8aef6,72,72
13,V100,13,BNCI2014_001,5,1,79326ea51075ae885e37132db45fd1c15c91a926d980096bd6cc12d7a921bb8f,dc87285587db83f3273f51db38ad4774b4f36970163f764a4e38be4e5478fc4f,72,72
14,V100,14,BNCI2014_001,5,2,30d28f839bd4e29e627c604bea98df4d0a8ba615d8e6ca6533873715ecfef90e,8940bda35fbed5cd9f12cf581f5f4fbbb868089bb7ed902cfcd96deab0999a3f,72,72
15,V100,15,BNCI2014_001,6,0,b065ee2f21b8bca942f22b49ea3cf1012e6bd5b9c7a9fa91eb1a195ddd3f7f23,1f74c368a0b129963af14c2015341a42180c40202fda031b65c68d974ed9588b,72,72
16,V100,16,BNCI2014_001,6,1,57f13ceaba5110530ef805fd07f3529d9c4b6e6cebbc6f3fd89668200ee78f27,21bc9a52de462795d887f51d121cd4f3d25ecda7e70714f0e45c790fe71efb95,72,72
17,V100,17,BNCI2014_001,6,2,68fd8325849416e11bec8b2a492d77a0126a8b481fd30208623dfec947f9fe32,7c1dd2eb8a05562625b8bd593c68e4077df786072d52c4fc3e4e3ea77d9825c7,72,72
18,V100,18,BNCI2014_001,7,0,9a099a6eec0096df2fb489070a48f420a4dc90e9674cbdc84d1545dee969a371,693537f16e1ddf9531139d0c037c8d3aab5c63f6400f5c09386056582634ae95,72,72
19,V100,19,BNCI2014_001,7,1,a0c16b538836d51ff2aa559bc8fcfc2195a3e78aae4bdaeb674e6baa4c802495,312b40ff7a318a3a19d42a5145a685c29b213e66fd0c448bf5bde8ce62756ccb,72,72
20,V100,20,BNCI2014_001,7,2,0c7a5e265880b300a29a1c916399ae9ec3f5a02af7d01eaeb76da0133c05f7ff,7997afcbe9b494a36dcd2d54ae451f1a74c5a5f95bfa8b075ce0b28355dd44df,72,72
21,V100,21,BNCI2014_001,8,0,034203564fa2f39219a075697a6a7af2d8d4c3e7db730a7d4d34cf83bb2b0640,0c68c260f0708fc634feb421149e27f41031e8963b7c67c6cf7085a3e4c60287,72,72
22,V100,22,BNCI2014_001,8,1,b484f83cdb5c28cee41e66c3ced2ba8ae7e042896226e28d8ce582f7981bde9a,e835357dc5abed4541c6efd7b87fca355ca3baa1ae9425b2b87341cd99c85225,72,72
