metric,comparison,estimand,dataset,n_subjects,estimate,ci_low,ci_high,bootstrap_replicates,bootstrap_seed,cluster_unit
bacc,FP-GEM minus source_only_tsmnet,per_dataset,BNCI2014_001,9,0.10288065843621408,0.045267489711934394,0.16358024691358042,10000,20260710,dataset x target_subject
bacc,FP-GEM minus rct,per_dataset,BNCI2014_001,9,-0.014917695473251058,-0.029835390946502227,0.0010288065843622185,10000,20260710,dataset x target_subject
bacc,FP-GEM minus spdim_geodesic,per_dataset,BNCI2014_001,9,-0.014917695473251058,-0.03189300411522644,0.0030864197530865445,10000,20260710,dataset x target_subject
bacc,FP-GEM minus spdim_bias,per_dataset,BNCI2014_001,9,-0.011316872427983515,-0.03137860082304511,0.010288065843621408,10000,20260710,dataset x target_subject
bacc,FP-GEM minus Joint-GEM,per_dataset,BNCI2014_001,9,0.0030864197530864335,0.0005144032921811093,0.0051440329218107594,10000,20260710,dataset x target_subject
bacc,FP-GEM minus source_only_tsmnet,per_dataset,Lee2019_MI,54,0.11703703703703727,0.09728395061728401,0.1376543209876543,10000,20260710,dataset x target_subject
bacc,FP-GEM minus rct,per_dataset,Lee2019_MI,54,-0.016049382716049387,-0.02246913580246912,-0.0095061728395065,10000,20260710,dataset x target_subject
bacc,FP-GEM minus spdim_geodesic,per_dataset,Lee2019_MI,54,-0.010987654320987916,-0.01666666666666672,-0.005061728395061582,10000,20260710,dataset x target_subject
bacc,FP-GEM minus spdim_bias,per_dataset,Lee2019_MI,54,-0.008765432098765458,-0.015061728395061702,-0.00197530864197559,10000,20260710,dataset x target_subject
bacc,FP-GEM minus Joint-GEM,per_dataset,Lee2019_MI,54,0.0028395061728394566,-0.0008641975308639749,0.006666666666666821,10000,20260710,dataset x target_subject
bacc,FP-GEM minus source_only_tsmnet,subject_weighted,ALL,63,0.1150146972369196,0.09638661081716642,0.13466343327454472,10000,20260710,dataset x target_subject
bacc,FP-GEM minus rct,subject_weighted,ALL,63,-0.01588771310993542,-0.021822604350382004,-0.009882348618459703,10000,20260710,dataset x target_subject
bacc,FP-GEM minus spdim_geodesic,subject_weighted,ALL,63,-0.011549088771311222,-0.017025352733685894,-0.005855085243974091,10000,20260710,dataset x target_subject
bacc,FP-GEM minus spdim_bias,subject_weighted,ALL,63,-0.009129923574368148,-0.015429232804232607,-0.002721781305114667,10000,20260710,dataset x target_subject
bacc,FP-GEM minus Joint-GEM,subject_weighted,ALL,63,0.002874779541446104,-0.0002674897119340214,0.006196355085243965,10000,20260710,dataset x target_subject
bacc,FP-GEM minus source_only_tsmnet,dataset_macro,ALL,63,0.10995884773662579,0.07988683127572037,0.14274819958847748,10000,20260710,dataset x target_subject
bacc,FP-GEM minus rct,dataset_macro,ALL,63,-0.015483539094650167,-0.023631687242798183,-0.0067386831275719735,10000,20260710,dataset x target_subject
bacc,FP-GEM minus spdim_geodesic,dataset_macro,ALL,63,-0.012952674897119376,-0.022078703703703673,-0.0033227880658436384,10000,20260710,dataset x target_subject
bacc,FP-GEM minus spdim_bias,dataset_macro,ALL,63,-0.010041152263374431,-0.020555812757201745,0.0012669753086420263,10000,20260710,dataset x target_subject
bacc,FP-GEM minus Joint-GEM,dataset_macro,ALL,63,0.002962962962963056,0.0007199074074073583,0.005205761316872115,10000,20260710,dataset x target_subject
