dataset,target_subject,source_seed,split_family,method,n_adapt,n_eval,class_counts_adapt,class_counts_eval,acc,bacc,macro_f1,prediction_hash,logits_hash,status,failure_reason,source_model_sha256,source_checkpoint_file_sha256,result_origin,target_label_leakage_detected,target_performance_selection_detected,classifier_frozen,backbone_frozen
BNCI2014_001,1,0,class_stratified_half,source_only_tsmnet,72,72,"[36,36]","[36,36]",0.5,0.5,0.3333333333333333,b34275f9b47303137d4f0937b481a60a93eb6509a74a5b0c4cb0c89671ff30a4,1b343959fe6dc5e6442f24b42ed26885ff6a854f5770b790a02c700f973be4ab,ok,,ab76e620dc6de1bb1ea6352ee4bb1300c805d68df28ca6f1a2d771303538c2c9,07c233d02b36305e68f965da8c3939efb866f893af522f91d5a2d94e5f950c7d,P12_same_checkpoint_control,False,False,True,True
BNCI2014_001,1,0,class_stratified_half,rct,72,72,"[36,36]","[36,36]",0.8055555555555556,0.8055555555555556,0.8017309205350118,ecae87fa83666fe35a3707860e4c3a4a65debbf960a8f266622f571aaef81304,031b0c06a851f9bbf4c88e980bb6e24be774d1438214fd95e0ab34216af1cdc3,ok,,ab76e620dc6de1bb1ea6352ee4bb1300c805d68df28ca6f1a2d771303538c2c9,07c233d02b36305e68f965da8c3939efb866f893af522f91d5a2d94e5f950c7d,P12_same_checkpoint_control,False,False,True,True
BNCI2014_001,1,0,class_stratified_half,spdim_geodesic,72,72,"[36,36]","[36,36]",0.8055555555555556,0.8055555555555556,0.8017309205350118,ecae87fa83666fe35a3707860e4c3a4a65debbf960a8f266622f571aaef81304,0beb2e874ea84467dcdfa9908ca7bc5f98b15a7b1d603a03833f513774b6027d,ok,,ab76e620dc6de1bb1ea6352ee4bb1300c805d68df28ca6f1a2d771303538c2c9,07c233d02b36305e68f965da8c3939efb866f893af522f91d5a2d94e5f950c7d,P12_same_checkpoint_control,False,False,True,True
BNCI2014_001,1,0,class_stratified_half,spdim_bias,72,72,"[36,36]","[36,36]",0.8055555555555556,0.8055555555555556,0.8017309205350118,ecae87fa83666fe35a3707860e4c3a4a65debbf960a8f266622f571aaef81304,33eec1bda30a84cf980054dac9e6826afa97e260253d4a81a603399cdcf6f321,ok,,ab76e620dc6de1bb1ea6352ee4bb1300c805d68df28ca6f1a2d771303538c2c9,07c233d02b36305e68f965da8c3939efb866f893af522f91d5a2d94e5f950c7d,P12_same_checkpoint_control,False,False,True,True
BNCI2014_001,1,0,class_stratified_half,Joint-GEM,72,72,"[36,36]","[36,36]",0.7638888888888888,0.7638888888888888,0.7531760435571688,82f8438bb249c0be9c0947eafee02e3d919a5d8beebe9070b84f02f5819f5acc,1fb96a8c6ec6c1c99bcecd591823d3037539f11608930422e58c608276975bf1,ok,,ab76e620dc6de1bb1ea6352ee4bb1300c805d68df28ca6f1a2d771303538c2c9,07c233d02b36305e68f965da8c3939efb866f893af522f91d5a2d94e5f950c7d,P12_new_method,False,False,True,True
BNCI2014_001,1,0,class_stratified_half,FP-GEM,72,72,"[36,36]","[36,36]",0.7638888888888888,0.7638888888888888,0.7531760435571688,82f8438bb249c0be9c0947eafee02e3d919a5d8beebe9070b84f02f5819f5acc,68a015a2f68079a286be011b845f654a9b2d080b88ffce0fccec6230bcbe85a5,ok,,ab76e620dc6de1bb1ea6352ee4bb1300c805d68df28ca6f1a2d771303538c2c9,07c233d02b36305e68f965da8c3939efb866f893af522f91d5a2d94e5f950c7d,P12_new_method,False,False,True,True
BNCI2014_001,1,1,class_stratified_half,source_only_tsmnet,72,72,"[36,36]","[36,36]",0.5,0.5,0.3333333333333333,6bc25e9e3aae737cef0ecb1f71f4d1143dc99fc72c62b0f8db9603fb87614c5b,e76549c20c4b3135bd3b1a5a06bff3455ee402de1a4e660020c584cd890ff383,ok,,d2b65b49aed7b74280ffd400d2e326a8b955fa2bba07bff6c437c49fec01e075,53aa2007f182828a14d01bc5466a43d636dfefc31c1ea555ab027f7bd70b1489,P12_same_checkpoint_control,False,False,True,True
BNCI2014_001,1,1,class_stratified_half,rct,72,72,"[36,36]","[36,36]",0.8472222222222222,0.8472222222222222,0.8447971781305115,2a8a54e8953be4cef7ec97215c5abafbcbf755f5c68dda9b440a53c06f5f44f3,f9708ee1fc90bd5a5ba98b390422c1159bfca8eb5acf5e44f3d565a3a11cad9b,ok,,d2b65b49aed7b74280ffd400d2e326a8b955fa2bba07bff6c437c49fec01e075,53aa2007f182828a14d01bc5466a43d636dfefc31c1ea555ab027f7bd70b1489,P12_same_checkpoint_control,False,False,True,True
BNCI2014_001,1,1,class_stratified_half,spdim_geodesic,72,72,"[36,36]","[36,36]",0.8472222222222222,0.8472222222222222,0.8447971781305115,2a8a54e8953be4cef7ec97215c5abafbcbf755f5c68dda9b440a53c06f5f44f3,b01332ac32d25ddda8a5488c3115cd0ff4a6392addc2eba8bc5958bf142c68a2,ok,,d2b65b49aed7b74280ffd400d2e326a8b955fa2bba07bff6c437c49fec01e075,53aa2007f182828a14d01bc5466a43d636dfefc31c1ea555ab027f7bd70b1489,P12_same_checkpoint_control,False,False,True,True
BNCI2014_001,1,1,class_stratified_half,spdim_bias,72,72,"[36,36]","[36,36]",0.8472222222222222,0.8472222222222222,0.8447971781305115,2a8a54e8953be4cef7ec97215c5abafbcbf755f5c68dda9b440a53c06f5f44f3,e8934cb1bfacd476ea1310fe6bea841baa0368194463d65de332c9d269f7ae7d,ok,,d2b65b49aed7b74280ffd400d2e326a8b955fa2bba07bff6c437c49fec01e075,53aa2007f182828a14d01bc5466a43d636dfefc31c1ea555ab027f7bd70b1489,P12_same_checkpoint_control,False,False,True,True
BNCI2014_001,1,1,class_stratified_half,Joint-GEM,72,72,"[36,36]","[36,36]",0.8194444444444444,0.8194444444444444,0.8185694902112812,4479ef64aa31425e22be025684772a7fac4495e008a6861d4b0c58d251e9adc0,52fa484853f7fa177fd13e9374904ccd6fae8f913566892e4a00b28166427559,ok,,d2b65b49aed7b74280ffd400d2e326a8b955fa2bba07bff6c437c49fec01e075,53aa2007f182828a14d01bc5466a43d636dfefc31c1ea555ab027f7bd70b1489,P12_new_method,False,False,True,True
BNCI2014_001,1,1,class_stratified_half,FP-GEM,72,72,"[36,36]","[36,36]",0.8194444444444444,0.8194444444444444,0.8185694902112812,4479ef64aa31425e22be025684772a7fac4495e008a6861d4b0c58d251e9adc0,e85c0c6aec023947e6f89359e38a50222571a4e9e315277b5251a23bf45de5f4,ok,,d2b65b49aed7b74280ffd400d2e326a8b955fa2bba07bff6c437c49fec01e075,53aa2007f182828a14d01bc5466a43d636dfefc31c1ea555ab027f7bd70b1489,P12_new_method,False,False,True,True
BNCI2014_001,1,2,class_stratified_half,source_only_tsmnet,72,72,"[36,36]","[36,36]",0.5277777777777778,0.5277777777777778,0.39225422045680236,1bbbe2a9af7c7579f8b9f7bd32a81df5ba75b33e3553ea35745f2401141f8f3c,f591b79b33d945c08a086ce05170cf2d5ab061b8aae0a95441066af850bd422f,ok,,76a2b742371c8a255fbbf23d708ab5af6130afda89a243f20ef9af0c51a90491,efbdb750979da074b75d8766736f1d137630348d0f3a1d904672883b58c1aa6c,P12_same_checkpoint_control,False,False,True,True
BNCI2014_001,1,2,class_stratified_half,rct,72,72,"[36,36]","[36,36]",0.8194444444444444,0.8194444444444444,0.8165784832451499,561a663e2ad86da34ab970bdba6f28ac58520914afce116c5b099d1b0daf65c5,83b6a4a49a5117ca60fe2f75c793342b314bdec74853cdea14b5b257df67e6f3,ok,,76a2b742371c8a255fbbf23d708ab5af6130afda89a243f20ef9af0c51a90491,efbdb750979da074b75d8766736f1d137630348d0f3a1d904672883b58c1aa6c,P12_same_checkpoint_control,False,False,True,True
BNCI2014_001,1,2,class_stratified_half,spdim_geodesic,72,72,"[36,36]","[36,36]",0.8055555555555556,0.8055555555555556,0.8017309205350118,9d25070367bd87217cd7f32a0d6bed069b1272dec9a25761d59a6a005620e323,5e1ef8eeec26c66556c6218bfb98e021e7aebfb18a8d721738b189e7f0221cf9,ok,,76a2b742371c8a255fbbf23d708ab5af6130afda89a243f20ef9af0c51a90491,efbdb750979da074b75d8766736f1d137630348d0f3a1d904672883b58c1aa6c,P12_same_checkpoint_control,False,False,True,True
BNCI2014_001,1,2,class_stratified_half,spdim_bias,72,72,"[36,36]","[36,36]",0.8055555555555556,0.8055555555555556,0.8017309205350118,9d25070367bd87217cd7f32a0d6bed069b1272dec9a25761d59a6a005620e323,fd54da02ec97f7502cc9bbb6597e09e0fed53d3eebeee833d11ca9f63ce773e3,ok,,76a2b742371c8a255fbbf23d708ab5af6130afda89a243f20ef9af0c51a90491,efbdb750979da074b75d8766736f1d137630348d0f3a1d904672883b58c1aa6c,P12_same_checkpoint_control,False,False,True,True
BNCI2014_001,1,2,class_stratified_half,Joint-GEM,72,72,"[36,36]","[36,36]",0.8055555555555556,0.8055555555555556,0.8017309205350118,9d25070367bd87217cd7f32a0d6bed069b1272dec9a25761d59a6a005620e323,404d7fafb1fbd401996ce3ad82c820f5b0c2e37688ea82fc30a1e89da084441b,ok,,76a2b742371c8a255fbbf23d708ab5af6130afda89a243f20ef9af0c51a90491,efbdb750979da074b75d8766736f1d137630348d0f3a1d904672883b58c1aa6c,P12_new_method,False,False,True,True
BNCI2014_001,1,2,class_stratified_half,FP-GEM,72,72,"[36,36]","[36,36]",0.8055555555555556,0.8055555555555556,0.8017309205350118,9d25070367bd87217cd7f32a0d6bed069b1272dec9a25761d59a6a005620e323,b7eaa7597740e4e8bdf136b0d7b9a53d4ee64fd5a44811563f422f723e4612f8,ok,,76a2b742371c8a255fbbf23d708ab5af6130afda89a243f20ef9af0c51a90491,efbdb750979da074b75d8766736f1d137630348d0f3a1d904672883b58c1aa6c,P12_new_method,False,False,True,True
BNCI2014_001,2,0,class_stratified_half,source_only_tsmnet,72,72,"[36,36]","[36,36]",0.5416666666666666,0.5416666666666667,0.4990512333965844,da1ebc9c5b39b33d94bacf6b299705186f8221445d9915aeb2b0aea0304c61d7,0a7c6cee60048aec449c09a4f5f288f43c1e17bce780884ca84c93f9ea9ede44,ok,,d3743216b9f7ad807572a13a39cad7f4b27055ee5011927d7a9226ef41690570,c9598d9fad486e7b29b95b0f2e12983fa53bfff6ef60774c3e211122efc6bc3d,P12_same_checkpoint_control,False,False,True,True
BNCI2014_001,2,0,class_stratified_half,rct,72,72,"[36,36]","[36,36]",0.5416666666666666,0.5416666666666667,0.5408695652173914,e6f084119a953d9df42df006101875060addddf82f2d3032008d9ec5e6981913,4eed34979103c573a09a5690008ae469780bb578fb5319698c72683cf96a35f0,ok,,d3743216b9f7ad807572a13a39cad7f4b27055ee5011927d7a9226ef41690570,c9598d9fad486e7b29b95b0f2e12983fa53bfff6ef60774c3e211122efc6bc3d,P12_same_checkpoint_control,False,False,True,True
