target,level,regime,ERM_parent_checkpoint_id,trajectory_links_checked,failed_links,passed
4,0,OACI,2fbaa134ef7dcb58e97e6d6edd8b5308c22a6f70a170d57cd0e0be93da9baecb,40,0,1
4,0,SRC,2fbaa134ef7dcb58e97e6d6edd8b5308c22a6f70a170d57cd0e0be93da9baecb,40,0,1
4,1,OACI,635f7259f8bbd07e6cca62f4030f9c0d98f033acd12db4c74ba2372fb95a5e14,40,0,1
4,1,SRC,635f7259f8bbd07e6cca62f4030f9c0d98f033acd12db4c74ba2372fb95a5e14,40,0,1
8,0,OACI,410803443691228b555cd0fe4b895f4b89a1e30efed99080d5eb5a8fdf0c617b,40,0,1
8,0,SRC,410803443691228b555cd0fe4b895f4b89a1e30efed99080d5eb5a8fdf0c617b,40,0,1
8,1,OACI,91b5309e1975c1acfd95a201a2058c4c21982a625e38148d90dc8dfb3c71f085,40,0,1
8,1,SRC,91b5309e1975c1acfd95a201a2058c4c21982a625e38148d90dc8dfb3c71f085,40,0,1
9,0,OACI,279fb3f788f63c2ab35f24d24d7290d4c09c84c453da5e4da39e4efaa6dc5578,40,0,1
9,0,SRC,279fb3f788f63c2ab35f24d24d7290d4c09c84c453da5e4da39e4efaa6dc5578,40,0,1
9,1,OACI,abbe1440bcd6d26108e00e0226ec07262dc2b26ea96d65dfebf04efbf2bcafa5,40,0,1
9,1,SRC,abbe1440bcd6d26108e00e0226ec07262dc2b26ea96d65dfebf04efbf2bcafa5,40,0,1
3,0,OACI,95fa53eb3526fc2d9849c038aee5a957b210f0de4591aa0c24d5aa60b0deb6b6,40,0,1
3,0,SRC,95fa53eb3526fc2d9849c038aee5a957b210f0de4591aa0c24d5aa60b0deb6b6,40,0,1
3,1,OACI,813da990df314a74b4a92714fe948c97b493b3adfb1d611bace60013c71e2b11,40,0,1
3,1,SRC,813da990df314a74b4a92714fe948c97b493b3adfb1d611bace60013c71e2b11,40,0,1
6,0,OACI,eb72a0f7399faa408b582b19e85ff10720dd3c56ddde536547483a4e627e50f1,40,0,1
6,0,SRC,eb72a0f7399faa408b582b19e85ff10720dd3c56ddde536547483a4e627e50f1,40,0,1
6,1,OACI,563a3f760395afc8dab65f79462921246f46b8112321aebae8c95e41825b3f27,40,0,1
6,1,SRC,563a3f760395afc8dab65f79462921246f46b8112321aebae8c95e41825b3f27,40,0,1
5,0,OACI,d2d487ca1d50e2b1afbab2c168568e0bb58bd8e7fba2d38274d7448941463e01,40,0,1
5,0,SRC,d2d487ca1d50e2b1afbab2c168568e0bb58bd8e7fba2d38274d7448941463e01,40,0,1
5,1,OACI,a807225fe5092517ddb203535639ea23a3e6aa0fb3466d1c2cf961e7f638fbdf,40,0,1
5,1,SRC,a807225fe5092517ddb203535639ea23a3e6aa0fb3466d1c2cf961e7f638fbdf,40,0,1
2,0,OACI,e1807ac0a82af995b3c7b1e7428a63eb12db3956f645d06d6800655b6af829af,40,0,1
2,0,SRC,e1807ac0a82af995b3c7b1e7428a63eb12db3956f645d06d6800655b6af829af,40,0,1
2,1,OACI,5e960c9434bf12837783c643c9248de5d29647d179730550725009167e460f46,40,0,1
2,1,SRC,5e960c9434bf12837783c643c9248de5d29647d179730550725009167e460f46,40,0,1
7,0,OACI,979c3735f1b11f61fcf0292468af0ef901a5af2e805215674f7798b9e8b6cb4a,40,0,1
7,0,SRC,979c3735f1b11f61fcf0292468af0ef901a5af2e805215674f7798b9e8b6cb4a,40,0,1
7,1,OACI,5e157258a0f27c01a2e2d3cfa4232ad933775a2d4daa8ffbe9bce6475392bf0e,40,0,1
7,1,SRC,5e157258a0f27c01a2e2d3cfa4232ad933775a2d4daa8ffbe9bce6475392bf0e,40,0,1
1,0,OACI,440391df548654546c7eba84e09f43687a7cbf1d577126746254285fdabb74c0,40,0,1
1,0,SRC,440391df548654546c7eba84e09f43687a7cbf1d577126746254285fdabb74c0,40,0,1
1,1,OACI,1438ed06453012cf0fcaa0724a3de9acc21c609ef17e623b3b4087aa70b28033,40,0,1
1,1,SRC,1438ed06453012cf0fcaa0724a3de9acc21c609ef17e623b3b4087aa70b28033,40,0,1
