target,stage,SLURM_job_id,GPU_name,GPU_count,GPU_wall_hours,wall_seconds,CPU_seconds,peak_GPU_memory_bytes,external_storage_bytes,retry_or_requeue_count,manifest_path,manifest_file_sha256,passed
4,oaci_erm_training,893359,Tesla V100-PCIE-16GB,1,0.5515351991520988,1985.5267188549042,6451.509985343,8659497472,74766204,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-004/training/oaci_erm/FIELD_FROZEN.json,964b953ba25b5ce86e8c5f005575d38e59dd3bc66305703bba529d2258e050ef,1
4,src_training,893360,Tesla V100-PCIE-16GB,1,0.422568356262313,1521.2460832595825,3024.085611294,8658863616,39482126,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-004/training/src/FIELD_FROZEN.json,2b264a5e86e9a3adca47ac44ce2d0a5a281c99bb964520b5cbae33e7f1520d6a,1
4,instrumentation,893447,none,0,0,905.9444959163666,37831.24453744898,0,3345458865,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-004/instrumentation/INSTRUMENTATION_COMPLETE.json,561d40177f5b776f50ee68434543cfbf8c487b718052454fc22da4c3ed7026c0,1
8,oaci_erm_training,893460,Tesla V100-PCIE-16GB,1,0.5637508718172709,2029.503143787384,4688.375800396,8659497472,74766028,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-008/training/oaci_erm/FIELD_FROZEN.json,94fec9f9b270cf5cac8bc638c55d8997f6735b1582613e506844e9ce287c6cac,1
8,src_training,893495,Tesla V100-PCIE-16GB,1,0.44574313872390325,1604.6753015518188,2662.49052686,8658863616,39482103,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-008/training/src/FIELD_FROZEN.json,cab5707fd13a9710b7108fa9ea783f06a4ad8720df188ccb53ab0333ce982d7d,1
8,instrumentation,893497,none,0,0,289.1365911960602,9621.174033161007,0,3345458680,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-008/instrumentation/INSTRUMENTATION_COMPLETE.json,e2e17a3a54a0bf96d32cf73d4f2f005e006817b4f026cf1cfeef3b73778351b4,1
9,oaci_erm_training,893459,Tesla V100S-PCIE-32GB,1,0.4870710391468472,1753.4557430744171,4384.671196849,8659497472,74765797,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-009/training/oaci_erm/FIELD_FROZEN.json,31d034f904c3fba2eb46c7dd7467e9e1203366f4a7a58c7b6f2c28c41afea9d2,1
9,src_training,893494,Tesla V100S-PCIE-32GB,1,0.38043987022505865,1369.583535194397,2115.1157851430003,8658863616,39482156,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-009/training/src/FIELD_FROZEN.json,00e7cb87a0c68865cbef5d6e4f97f549d85151440b3affe048dc09f27e6dc46e,1
9,instrumentation,893496,none,0,0,293.2280926704407,9172.143667215,0,3345458511,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-009/instrumentation/INSTRUMENTATION_COMPLETE.json,279311887be2539bce2cfb4f1badafe2de4b78befa7332398f411fccd9605f03,1
3,oaci_erm_training,893462,Tesla V100S-PCIE-32GB,1,0.5483790442678663,1974.164561033249,4625.2813416789995,8659497472,74766152,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-003/training/oaci_erm/FIELD_FROZEN.json,4a3a3f6d5d1f4987920bfdc9f03c23e499bdbf9c23718a84f0e804146a61b9d1,1
3,src_training,893464,Tesla V100-PCIE-16GB,1,0.43977088577217527,1583.175193309784,2639.153100215,8658863616,39482118,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-003/training/src/FIELD_FROZEN.json,9e12dd1606b9f73b3a5b0fc2ca18cdeba5fcbf797096f27c7e799cc230c49cac,1
3,instrumentation,893467,none,0,0,892.6308345794678,36295.86783412304,0,3345458771,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-003/instrumentation/INSTRUMENTATION_COMPLETE.json,8e3254af55e7e01fd66629734fcb5bdc65b7b00670663963248970e890577254,1
6,oaci_erm_training,893461,Tesla V100-PCIE-16GB,1,0.5854736477798885,2107.7051343917847,4771.841821512,8659497472,74766298,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-006/training/oaci_erm/FIELD_FROZEN.json,be278cd5fb9da953ec7ce0d558adf6fcac9236a606e3e7b8ae30320ddf4bee01,1
6,src_training,893465,Tesla V100-PCIE-16GB,1,0.45741579843891994,1646.6968762874603,2698.038425953,8658863616,39482204,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-006/training/src/FIELD_FROZEN.json,b98440295fbf5b577f68405069e81ea7f23d957f4178beadfc2019e6117a2283,1
6,instrumentation,893470,none,0,0,277.13685035705566,9041.22069681201,0,3345459048,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-006/instrumentation/INSTRUMENTATION_COMPLETE.json,58d9e71d5a866b73686bc4bc6212833aed127faff64987afa1fc216a05828b86,1
