estimand,paired_unit,paired_units,mean_seed4_minus_seed3,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates,RNG_seed,interval_excludes_zero,gate_decision_differs,material_training_seed_heterogeneity
P1_reliability,target,8,-0.014407479372623627,-0.0900805020908067,0.053553285906478225,2000,15793,0,0,0
P1_top1,target,8,0.0,-0.1875,0.1875,2000,15793,0,0,0
P1_top5,target,8,-0.1875,-0.5,0.125,2000,15793,0,0,0
P1_top10,target,8,-0.0625,-0.25,0.125,2000,15793,0,0,0
P1_regret,target,8,0.027872646016417753,-0.04308528924732903,0.0961209967925019,2000,15793,0,0,0
H2_deviance,target,8,0.09856428783754367,-2.9330446542582997,3.3900125631447695,2000,15793,0,0,0
P2_local,target,8,-0.032519497606726025,-0.06160856530489693,0.004580781915175219,2000,15793,0,1,1
P2_LOTO,target,8,0.11381707400335585,-0.14561349415206085,0.3940542503718602,2000,15793,0,0,0
P2_LORO,regime_descriptive,2,0.05285235918367415,,,0,not_applicable,0,0,0
H4_F2,target,8,-0.03978623264735201,-0.16058691387505694,0.08846091771317946,2000,15793,0,0,0
H5_F4,target,8,-0.010883840498537356,-0.09670351943487722,0.07980419497940587,2000,15793,0,0,0
H6,target,8,0.01130572265781192,-0.18208748644557876,0.2364027341465617,2000,15793,0,0,0
