risk,status,blocking,evidence
historical_protocol_retroactively_relabelled,CLOSED,0,C79E scientific result red-team replay
seed4_access_before_replacement_lock,CLOSED,0,C79E scientific result red-team replay
target_label_training_leak,CLOSED,0,C79E scientific result red-team replay
target4_enters_primary_family,CLOSED,0,C79E scientific result red-team replay
same_label_oracle_reachable,CLOSED,0,C79E scientific result red-team replay
construction_evaluation_overlap,CLOSED,0,C79E scientific result red-team replay
trial_ID_or_row_order_used_as_feature,CLOSED,0,C79E scientific result red-team replay
interim_seed4_branching,CLOSED,0,C79E scientific result red-team replay
outcome_dependent_retry_or_retention,CLOSED,0,C79E scientific result red-team replay
failed_job_hidden,CLOSED,0,C79E scientific result red-team replay
repair_changes_scientific_registry,CLOSED,0,C79E scientific result red-team replay
kernel_or_feature_retuning_after_seed3,CLOSED,0,C79E scientific result red-team replay
active_after_Holm_outcome_selection,CLOSED,0,C79E scientific result red-team replay
unregistered_cross_seed_pooling,CLOSED,0,C79E scientific result red-team replay
near_threshold_pvalue_rescue,CLOSED,0,C79E scientific result red-team replay
seed3_seed4_treated_as_independent_subjects,CLOSED,0,C79E scientific result red-team replay
checkpoint_rows_treated_iid,CLOSED,0,C79E scientific result red-team replay
trial_rows_treated_iid,CLOSED,0,C79E scientific result red-team replay
P1_actionability_called_source_only_control,CLOSED,0,C79E scientific result red-team replay
P2_association_called_mechanism,CLOSED,0,C79E scientific result red-team replay
P2_transport_failure_generalized_to_all_functions,CLOSED,0,C79E scientific result red-team replay
H2_failure_called_universal_multiplicity_null,CLOSED,0,C79E scientific result red-team replay
H4_H5_nonqualification_called_impossibility,CLOSED,0,C79E scientific result red-team replay
same_raw_trials_called_new_population,CLOSED,0,C79E scientific result red-team replay
raw_cache_or_weights_in_git,CLOSED,0,C79E scientific result red-team replay
payload_over_50MiB_in_git,CLOSED,0,C79E scientific result red-team replay
BNCI2014_004_scope_creep,CLOSED,0,C79E scientific result red-team replay
manuscript_scope_creep,CLOSED,0,C79E scientific result red-team replay
C80_automatic_authorization,CLOSED,0,C79E scientific result red-team replay
