check,status,blocking,evidence
C79_final_protocol_hash_replays,PASS,0,7732986513793725d58933d487f5bc8f4fc68bfad0857bb4734a450b41ca5dd4
preoutcome_artifact_is_skeleton_only,PASS,0,SKELETON_ONLY_NOT_FINAL_NOT_AUTHORIZED
final_protocol_first_commit_is_C78S_result,PASS,0,43a046c5ba6632de415bfdbaacfa524d82c5395e
final_protocol_does_not_predate_first_outcome,PASS,0,2026-07-11T10:43:47Z
outcome_adaptive_H3_H4_H5_filter_detected,PASS,0,active_after_Holm
adaptive_generator_precommit_acknowledged,PASS,0,e561a15865934036bdccbc1e3b2ff126ad84821f
incomplete_exact_registry_detected,PASS,0,present=2/16
all_C78S_reference_values_replay,PASS,0,metrics=22
C78S_provenance_correction_replays_8_of_8,PASS,0,8 checks
C78S_correction_changed_no_code_or_protocol,PASS,0,five provenance/report files
blocking_risks_are_open_and_explicit,PASS,0,"C79_protocol_post_C78S_outcome,C79_protocol_outcome_adaptive_hypothesis_filter,C79_exact_scientific_registry_incomplete"
final_gate_is_timing_repair_required,PASS,0,C79_PROTOCOL_OR_TIMING_REPAIR_REQUIRED
no_seed4_EEG_or_job_access,PASS,0,zero
no_training_forward_or_GPU,PASS,0,zero
no_seed4_artifact_or_label_view,PASS,0,zero
same_label_oracle_closed,PASS,0,zero
no_execution_lock_or_expected_manifest_created,PASS,0,Phase 1 stop
no_BNCI004_or_manuscript_scope,PASS,0,zero
timeline_orders_outcomes_before_final_protocol,PASS,0,H1 before C79 final protocol
