check,status,blocking,evidence
protocol_hash_replays,PASS,0,7732986513793725d58933d487f5bc8f4fc68bfad0857bb4734a450b41ca5dd4
preoutcome_skeleton_not_misrepresented,PASS,0,SKELETON_ONLY_NOT_FINAL_NOT_AUTHORIZED
adaptive_generator_precommit_disclosed,PASS,0,e561a15
postoutcome_final_protocol_disclosed,PASS,0,43a046c
outcome_adaptive_H3_H4_H5_scope_disclosed,PASS,0,active_after_Holm
exact_registry_incompleteness_disclosed,PASS,0,2_of_16
C78S_reference_metrics_replayed,PASS,0,22_of_22
C78S_provenance_correction_replayed,PASS,0,8_of_8
focused_regression,PASS,0,21_passed
C65_regression,PASS,0,277_passed_1_finalized_C78F_guard_skip
C23_regression,PASS,0,684_passed_1_finalized_C78F_guard_skip
full_regression,PASS,0,1612_passed_1_finalized_C78F_guard_skip
regression_stderr_empty,PASS,0,4_of_4
superseded_attempts_retained,PASS,0,893197_893199_893200_893198
seed4_access_zero,PASS,0,Mode_R_boundary
execution_lock_not_created,PASS,0,Phase_1_stop
same_label_oracle_closed,PASS,0,zero
BNCI004_and_manuscript_closed,PASS,0,zero
final_gate_matches_blockers,PASS,0,C79_PROTOCOL_OR_TIMING_REPAIR_REQUIRED
no_execution_readiness_claim,PASS,0,Mode_E_prohibited
no_C80_auto_start,PASS,0,stop_for_PM_review
