target,view_name,path,sha256,rows,fields,uses_target_labels,uses_evaluation_labels,same_label_oracle,available_before_field_freeze,passed
4,strict_source_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-004/views/primary_inputs/strict_source/strict_source_input_sha256_fa19d257d7bcf753.npz,fa19d257d7bcf7535ca8e12bada46a06c2d7bcafc1d08365787cf712e8b5e4a2,4608,X|source_class_label|source_domain_id|source_role|source_trial_id,0,0,0,1,1
4,target_unlabeled_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-004/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_780cb051e538613e.npz,780cb051e538613e26b6a198240d513b18f7e84cfe3207fc59b690afb498156b,576,X|target_id|target_trial_id,0,0,0,1,1
8,strict_source_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-008/views/primary_inputs/strict_source/strict_source_input_sha256_f3a6313f75f1c267.npz,f3a6313f75f1c267a6ecb56a42fbe0fc49b51b5c2e48f89494ca6ff030c693f9,4608,X|source_class_label|source_domain_id|source_role|source_trial_id,0,0,0,1,1
8,target_unlabeled_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-008/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_29bcbd135ccc30bd.npz,29bcbd135ccc30bd4a0f96c6fe22bf5283086b5ecae58221256c30abef664d6d,576,X|target_id|target_trial_id,0,0,0,1,1
9,strict_source_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-009/views/primary_inputs/strict_source/strict_source_input_sha256_0bf5fb883b137541.npz,0bf5fb883b137541a236aede9fc8abe3f04dcaa4afe4f17ea4306c5ad4555466,4608,X|source_class_label|source_domain_id|source_role|source_trial_id,0,0,0,1,1
9,target_unlabeled_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-009/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_199f9287c7a7277c.npz,199f9287c7a7277c874484d516b110822269ade23fefcb2e5d63664b33015b13,576,X|target_id|target_trial_id,0,0,0,1,1
3,strict_source_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-003/views/primary_inputs/strict_source/strict_source_input_sha256_ce8715edb5b3de55.npz,ce8715edb5b3de558110e59c7e6f27fd1536820104dfeb89857a9b746fba2286,4608,X|source_class_label|source_domain_id|source_role|source_trial_id,0,0,0,1,1
3,target_unlabeled_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-003/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_45ca72fc09b988bf.npz,45ca72fc09b988bf6d929caad917eb8e0bfbe1930b246d5cfbb2cfcf96c0fd35,576,X|target_id|target_trial_id,0,0,0,1,1
6,strict_source_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-006/views/primary_inputs/strict_source/strict_source_input_sha256_a9ecca41f5048afc.npz,a9ecca41f5048afc591a67a9004e4286acf16320515c8968ef351a76a881b5a7,4608,X|source_class_label|source_domain_id|source_role|source_trial_id,0,0,0,1,1
6,target_unlabeled_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-006/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_37524fe08f2a935f.npz,37524fe08f2a935ffccf042c8daa2361f9f0e7aaf2ad4424183559d1a551866a,576,X|target_id|target_trial_id,0,0,0,1,1
5,strict_source_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-005/views/primary_inputs/strict_source/strict_source_input_sha256_05f1d4cb5c1064f1.npz,05f1d4cb5c1064f1c75244419a377cd0cca4c56b2441a59eb6ba2189f8b753a2,4608,X|source_class_label|source_domain_id|source_role|source_trial_id,0,0,0,1,1
5,target_unlabeled_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-005/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_6e0a6bdfcbd6afed.npz,6e0a6bdfcbd6afed6a48abfd63e02985dffcc255aebfcf95bfdef32f435edd0a,576,X|target_id|target_trial_id,0,0,0,1,1
2,strict_source_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-002/views/primary_inputs/strict_source/strict_source_input_sha256_1700ff24f52f7047.npz,1700ff24f52f70474ba72ed9e168f952f910d6ea4cc0cef7d6e04db2ece71b6a,4608,X|source_class_label|source_domain_id|source_role|source_trial_id,0,0,0,1,1
2,target_unlabeled_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-002/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_a95c001a689e40ea.npz,a95c001a689e40eadcaf0fd64bb6cdcde45ab5cc872576eeb7fe95dce27f4c0a,576,X|target_id|target_trial_id,0,0,0,1,1
7,strict_source_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-007/views/primary_inputs/strict_source/strict_source_input_sha256_8d5ded2f62c095f2.npz,8d5ded2f62c095f21ed3d01a5d8b77c62bb383104a3889a565418ebe723723f9,4608,X|source_class_label|source_domain_id|source_role|source_trial_id,0,0,0,1,1
7,target_unlabeled_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-007/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_8f58bc3323bc80a5.npz,8f58bc3323bc80a50e756638796014975e764e567d3cb6feddfe5983d8930ab6,576,X|target_id|target_trial_id,0,0,0,1,1
1,strict_source_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-001/views/primary_inputs/strict_source/strict_source_input_sha256_e138702b5f7e257a.npz,e138702b5f7e257ac2a5e8fcc3b28c3ed707ee119edeaf5c88d6cb7d3bc6ba70,4608,X|source_class_label|source_domain_id|source_role|source_trial_id,0,0,0,1,1
1,target_unlabeled_trial_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-001/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_cedc09e6b0e455b0.npz,cedc09e6b0e455b0d6006dd721d0e8b172d076aefd41b26f956a7bf59ac41cb5,576,X|target_id|target_trial_id,0,0,0,1,1
