check,passed
replacement_protocol_hash,1
primary_output_freeze_hashes,1
all_10_registered_paths_unconditional,1
active_after_Holm_runtime_selection_absent,1
target4_excluded_primary,1
same_label_oracle_closed,1
P1_deterministic_decision,1
P2_deterministic_decision,1
H2_exact_model_unqualified,1
H4_F2_unqualified,1
H5_F4_unqualified,1
H6_familywise_inactive,1
cross_seed_combined_p_absent,1
P2_gate_heterogeneity_explicit,1
no_cross_seed_rescue,1
repair_scientific_registry_unchanged,1
no_blocking_risk,1
