attempt,suite,job_id,commit_under_test,passed,skipped,deselected,failed,status,reason,replacement_job,stdout_sha256
1,focused,893709,7dee4be13379c60dc08f8ff9602877b33342634b,35,0,3,0,PASS_SUPERSEDED_BY_COMPLETE_REPAIR_RERUN,no_failure_all_suites_rerun_after_compatibility_repair,893716,88004f2d21ec7a720437a05ee61bcaa80b688c43d168b4f613e6e7ed0c73a3ee
1,c65_c79e,893712,7dee4be13379c60dc08f8ff9602877b33342634b,310,1,3,2,FAIL_RETAINED,Mode_R_shared_audit_table_namespace_and_manifest_hash_compatibility,893717,d0dfc233892c449e05297f8ef693db98fe3454e554846216b3f56ef0c483bbf5
1,c23_c79e,893711,7dee4be13379c60dc08f8ff9602877b33342634b,717,1,3,2,FAIL_RETAINED,Mode_R_shared_audit_table_namespace_and_manifest_hash_compatibility,893715,dee1a4026fbd25c6cd7f3ad868f1f755d6c9c09d9bc77f7f2bcd03f985dac1c2
1,full_oaci,893710,7dee4be13379c60dc08f8ff9602877b33342634b,1645,1,3,2,FAIL_RETAINED,Mode_R_shared_audit_table_namespace_and_manifest_hash_compatibility,893714,36a2ce3b4460a6e5bab846f5a178593e226b824206906014cbc1cfc9f5ef8b05
2,focused,893716,e48edda1702000a23b4a5c3d760b10ae535fbc16,35,0,3,0,PASS,additive_audit_namespace_compatibility_repair,none,fe85762652d8fbaa411cad4b7611d73b0c908918551a3924dfd4ab35956cc782
2,c65_c79e,893717,e48edda1702000a23b4a5c3d760b10ae535fbc16,312,1,3,0,PASS,additive_audit_namespace_compatibility_repair,none,35234c10e60dcc5edce5657258d53e0b10b8cad874d7f1cce344d23aa62a26f3
2,c23_c79e,893715,e48edda1702000a23b4a5c3d760b10ae535fbc16,719,1,3,0,PASS,additive_audit_namespace_compatibility_repair,none,86cba2f0e3c92d3329afeb5190630b17977c9c0296b6a47f5669ab8aebea8864
2,full_oaci,893714,e48edda1702000a23b4a5c3d760b10ae535fbc16,1647,1,3,0,PASS,additive_audit_namespace_compatibility_repair,none,79be260cc842b02c4bb1442fd6247bf2235c229cfde3cb785d9c41a341eafce2
3,focused,893726,3a02a0d68e4a42629898f286638e11d7f84b1eed,38,0,3,0,PASS,final_HEAD_includes_final_report_tests_and_handoff,none,bcffe883a03dd8a23e42f9cbf9cfff1b6e28eaa80536b928efd7780ce97f78fa
3,c65_c79e,893724,3a02a0d68e4a42629898f286638e11d7f84b1eed,315,1,3,0,PASS,final_HEAD_includes_final_report_tests_and_handoff,none,e55441300050aaf9765a42ad6607cd9e931aa1b76b887ef620c587259bf65b1b
3,c23_c79e,893725,3a02a0d68e4a42629898f286638e11d7f84b1eed,722,1,3,0,PASS,final_HEAD_includes_final_report_tests_and_handoff,none,e4e42c619023bc10d81ef4169123be07e484d9f115d7f3c927d84153ac77a187
3,full_oaci,893723,3a02a0d68e4a42629898f286638e11d7f84b1eed,1650,1,3,0,PASS,final_HEAD_includes_final_report_tests_and_handoff,none,f9b76f303aa49c088873ab67591fafd2777b32b5bed8a7739c724878e1f7a39a
