estimand,seed3_effect,seed4_effect,seed4_minus_seed3,direction_concordant,seed4_only_primary_unchanged,combined_p_value
P1_reliability,0.7708629907592237,0.7564555113866,-0.014407479372623655,1,1,not_computed
P1_top1,0.125,0.125,0.0,1,1,not_computed
P1_top5,0.6875,0.5,-0.1875,1,1,not_computed
P1_top10,0.75,0.6875,-0.0625,1,1,not_computed
P1_regret,0.08279432226091084,0.11066696827732858,0.027872646016417743,1,1,not_computed
H2_deviance,-9.505920587315757,-8.717406284615379,0.7885143027003778,1,1,not_computed
P2_local,0.24265629215048484,0.21013679454375883,-0.03251949760672601,1,1,not_computed
P2_LOTO,-0.21287505480736912,-0.09849749469014357,0.11437756011722555,1,1,not_computed
P2_LORO,-0.08579644289995947,-0.03294408371628532,0.05285235918367415,1,1,not_computed
H4_F2,-0.07308583875591457,-0.09628764196416528,-0.023201803208250715,1,1,not_computed
H5_F4,0.005176499403102386,0.010450398396399496,0.00527389899329711,1,1,not_computed
H6,0.40432932651535547,0.41563504917316746,0.01130572265781199,1,1,not_computed
