null,path,kernel,bandwidth_factor,statistic,observed,null_mean,null_p95,uncorrected_p,global_family_max_stat_p,bandwidth_selected_inside_null,null_replicates
target_block_permutation,strict_source,rbf,0.5,normalized_alignment,0.04458705290349839,0.030945095275266215,0.037111110193835256,0.002,1.0,1,499
target_block_permutation,strict_source,rbf,0.5,centered_hsic,0.08733719902697767,0.06900992080657786,0.07740443887952685,0.002,0.738,1,499
target_block_permutation,strict_source,rbf,1.0,normalized_alignment,0.011477791222821863,0.0067066294877414214,0.009260080820418197,0.006,1.0,1,499
target_block_permutation,strict_source,rbf,1.0,centered_hsic,0.07332251571025442,0.05829574248659616,0.06726385379954813,0.006,1.0,1,499
target_block_permutation,strict_source,rbf,2.0,normalized_alignment,-0.0017771019711968201,-0.0029095741844160027,-0.0021136192456761935,0.026,1.0,1,499
target_block_permutation,strict_source,rbf,2.0,centered_hsic,0.065426721453155,0.053261214062812805,0.06336751796222759,0.03,1.0,1,499
target_block_permutation,strict_source,laplacian,0.5,normalized_alignment,0.04099883456167877,0.029159536152975382,0.03410837040636697,0.002,1.0,1,499
target_block_permutation,strict_source,laplacian,0.5,centered_hsic,0.09824544007631265,0.08140110398568134,0.08860096345598302,0.002,0.13,1,499
target_block_permutation,strict_source,laplacian,1.0,normalized_alignment,0.018825731200643753,0.012328844715722298,0.015469184658800268,0.002,1.0,1,499
target_block_permutation,strict_source,laplacian,1.0,centered_hsic,0.09104801647558114,0.07419447330640853,0.08242242718320873,0.002,0.516,1,499
target_block_permutation,strict_source,laplacian,2.0,normalized_alignment,0.005809625775296562,0.0026816362314945295,0.004274188748948453,0.004,1.0,1,499
target_block_permutation,strict_source,laplacian,2.0,centered_hsic,0.08601783254773394,0.06982896428235029,0.07853465703888628,0.004,0.814,1,499
target_block_permutation,target_unlabeled,rbf,0.5,normalized_alignment,0.05628235695403061,0.03992067173443621,0.0474692530176654,0.002,1.0,1,499
target_block_permutation,target_unlabeled,rbf,0.5,centered_hsic,0.10193504302484019,0.07994945341402279,0.09025775484681338,0.002,0.038,1,499
target_block_permutation,target_unlabeled,rbf,1.0,normalized_alignment,0.019605823875086234,0.010591795702454795,0.014696937910212966,0.002,1.0,1,499
target_block_permutation,target_unlabeled,rbf,1.0,centered_hsic,0.09776226730128994,0.069369298638383,0.08182576655366504,0.002,0.144,1,499
target_block_permutation,target_unlabeled,rbf,2.0,normalized_alignment,0.0010102737336646357,-0.0018852687897536926,-0.0003089469215971851,0.002,1.0,1,499
target_block_permutation,target_unlabeled,rbf,2.0,centered_hsic,0.09468941476928372,0.06365442559201363,0.07958872386155541,0.002,0.274,1,499
target_block_permutation,target_unlabeled,laplacian,0.5,normalized_alignment,0.05135428266262085,0.037260595811564545,0.04376200600567386,0.002,1.0,1,499
target_block_permutation,target_unlabeled,laplacian,0.5,centered_hsic,0.11152053213733851,0.09124100777522391,0.10084912017175526,0.002,0.002,1,499
target_block_permutation,target_unlabeled,laplacian,1.0,normalized_alignment,0.026830450805112087,0.017305048050295344,0.021488586053301707,0.002,1.0,1,499
target_block_permutation,target_unlabeled,laplacian,1.0,centered_hsic,0.10952463346637258,0.08499566330567437,0.09553010812076332,0.002,0.002,1,499
target_block_permutation,target_unlabeled,laplacian,2.0,normalized_alignment,0.010465199200752959,0.005193540298877954,0.007475108920639985,0.002,1.0,1,499
target_block_permutation,target_unlabeled,laplacian,2.0,centered_hsic,0.10772429568491568,0.08082885860066462,0.09277407418152181,0.002,0.002,1,499
checkpoint_block_permutation,strict_source,rbf,0.5,normalized_alignment,0.04458705290349839,0.00822643297168141,0.012150167559238046,0.002,1.0,1,499
checkpoint_block_permutation,strict_source,rbf,0.5,centered_hsic,0.08733719902697767,0.03626074413746896,0.041767967480257885,0.002,0.002,1,499
checkpoint_block_permutation,strict_source,rbf,1.0,normalized_alignment,0.011477791222821863,0.0001565451116334103,0.00203613192119155,0.002,1.0,1,499
checkpoint_block_permutation,strict_source,rbf,1.0,centered_hsic,0.07332251571025442,0.034087164800141886,0.04031939169262908,0.002,0.002,1,499
