risk,status,blocking,mitigation,evidence
protocol_hash_or_execution_lock_drift,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,protocol_replay.csv
target4_in_primary_estimand,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,target4_exclusion_audit.csv
target4_in_primary_null_pool,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,target4_exclusion_audit.csv
target4_in_primary_multiplicity_family,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,primary_hypothesis_multiplicity.csv
quarantined_label_read_before_execution_lock,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,authorization_and_timing_audit.csv
construction_evaluation_trial_overlap,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,label_split_isolation.csv
same_label_oracle_early_access,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,oracle_access_audit.csv
trial_id_or_row_order_as_predictor,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,feature_availability_ledger.csv
target_label_in_unlabeled_feature,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,feature_availability_ledger.csv
outcome_adaptive_retry_or_report_scope,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,execution_attempt_ledger.csv
bandwidth_selected_outside_nested_contract,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,association_null_summary.csv
row_iid_inference,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,hierarchical_bootstrap_summary.csv
checkpoint_units_treated_as_population_replication,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,claim_boundary_ledger.csv
ERM_OACI_SRC_false_symmetry,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,regime_summary.csv
association_called_prediction,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,association_prediction_separation.csv
prediction_called_actionability,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,actionability_summary.csv
seed3_called_seed_confirmation,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,claim_boundary_ledger.csv
source_or_target_unlabeled_null_called_universal_failure,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,claim_boundary_ledger.csv
target_population_overclaim,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,claim_boundary_ledger.csv
seed4_or_C79_access,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,seed4_protection_audit.csv
BNCI2014_004_access,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,seed4_protection_audit.csv
training_forward_reinference_or_GPU,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,execution_attempt_ledger.csv
raw_cache_or_weights_in_git,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,artifact_hygiene_audit.csv
selector_or_checkpoint_recommendation,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,claim_boundary_ledger.csv
manuscript_drafting,CLOSED,0,verified_by_C78S_preflight_and_independent_result_red_team,claim_boundary_ledger.csv
