path,level,group,rows,association
strict_source,pooled,ALL,1296,0.0006834758455651479
strict_source,within_target,1,162,0.021241817634924033
strict_source,within_target,2,162,0.014228386190259032
strict_source,within_target,3,162,0.002632361631957265
strict_source,within_target,5,162,-8.38703258272868e-05
strict_source,within_target,6,162,0.005570257055093875
strict_source,within_target,7,162,0.006992341144189972
strict_source,within_target,8,162,0.0034844966957809365
strict_source,within_target,9,162,0.013725027977930751
strict_source,within_target_x_level,target-1|level-0,81,0.022801775219436066
strict_source,within_target_x_level,target-1|level-1,81,0.013522248260836988
strict_source,within_target_x_level,target-2|level-0,81,-0.0012620738787932496
strict_source,within_target_x_level,target-2|level-1,81,0.020223701552051113
strict_source,within_target_x_level,target-3|level-0,81,0.003213093105981553
strict_source,within_target_x_level,target-3|level-1,81,-0.009341325566939186
strict_source,within_target_x_level,target-5|level-0,81,-0.010432838164023413
strict_source,within_target_x_level,target-5|level-1,81,0.02795032702557642
strict_source,within_target_x_level,target-6|level-0,81,-0.004567029002114078
strict_source,within_target_x_level,target-6|level-1,81,0.0014269418383041188
strict_source,within_target_x_level,target-7|level-0,81,0.036197063336222635
strict_source,within_target_x_level,target-7|level-1,81,-0.011201700297275033
strict_source,within_target_x_level,target-8|level-0,81,0.004512958617070487
strict_source,within_target_x_level,target-8|level-1,81,0.004388707055447388
strict_source,within_target_x_level,target-9|level-0,81,0.005976278233670375
strict_source,within_target_x_level,target-9|level-1,81,0.02565010704033921
strict_source,within_target_x_level_x_regime,target-1|level-0|OACI,40,-0.01487114129691254
strict_source,within_target_x_level_x_regime,target-1|level-0|SRC,40,0.06694688789524032
strict_source,within_target_x_level_x_regime,target-1|level-1|OACI,40,0.00397381228656672
strict_source,within_target_x_level_x_regime,target-1|level-1|SRC,40,0.035524520711192116
strict_source,within_target_x_level_x_regime,target-2|level-0|OACI,40,0.04740117133438843
strict_source,within_target_x_level_x_regime,target-2|level-0|SRC,40,-0.019474691796679433
strict_source,within_target_x_level_x_regime,target-2|level-1|OACI,40,-0.0018501027864006303
