path,outcome,observed_incremental_R2,null_mean,null_p95,uncorrected_p,max_stat_corrected_p,null_replicates,null_scheme,observed_fold_alphas_frozen
strict_source_F2,continuous_joint_utility,-0.09628764196416528,-0.06896133643903112,-0.06001668583704468,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
strict_source_F2,target_bAcc,-0.07283590042239474,-0.03480347371923893,-0.0251266311307558,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
strict_source_F2,neg_target_NLL,-0.018094151223979726,-0.004607697965574859,-0.0014861913179748181,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
strict_source_F2,neg_target_ECE,-0.054902831072480285,-0.012893251731740682,-0.004737958195000658,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
strict_source_F2,primary_joint_good,-0.014097104946857675,-0.002542153318910854,0.0027905596900439466,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_geometry,continuous_joint_utility,0.010450398396399496,-0.02296500823345237,-0.0037364948228992673,0.01,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_geometry,target_bAcc,0.017672691935993856,-0.00505440625540651,0.009913615171202563,0.012,0.74,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_geometry,neg_target_NLL,-0.0054879026903627,-0.0014511529819854025,0.0021680314080273697,0.982,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_geometry,neg_target_ECE,0.010436800800998292,-0.00011896795776438728,0.007338205019255416,0.01,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_geometry,primary_joint_good,0.009712308370495526,0.002115479619875424,0.009569018327147794,0.048,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_full_mixed,continuous_joint_utility,-0.06062841846193867,-0.08061744661049583,-0.06282651328566434,0.038,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_full_mixed,target_bAcc,-0.10653547057828838,0.006554075639217333,0.01258311139812915,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_full_mixed,neg_target_NLL,-0.02799101120858416,-0.010081286969956568,-0.006498026700432191,1.0,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_full_mixed,neg_target_ECE,-0.02300305492919985,-0.00383456179298282,0.0049205751635104916,0.998,1.0,499,new_block_permuted_within_target_x_level_x_regime,1
target_unlabeled_F4_full_mixed,primary_joint_good,0.0237363169839494,0.01496129629073874,0.021361632176144205,0.008,0.274,499,new_block_permuted_within_target_x_level_x_regime,1
construction_F5_positive,continuous_joint_utility,0.24820838259654487,0.019933218821745678,0.030411526777507098,0.002,0.002,499,new_block_permuted_within_target_x_level_x_regime,1
construction_F5_positive,target_bAcc,0.5209341005368019,-0.13302265529455634,-0.11277677589050411,0.002,0.002,499,new_block_permuted_within_target_x_level_x_regime,1
construction_F5_positive,neg_target_NLL,0.06390249118243763,0.0028728101318936665,0.005098402038128456,0.002,0.002,499,new_block_permuted_within_target_x_level_x_regime,1
construction_F5_positive,neg_target_ECE,0.09218146550306694,-0.002975854110129144,0.0007712104262722616,0.002,0.002,499,new_block_permuted_within_target_x_level_x_regime,1
construction_F5_positive,primary_joint_good,0.103525461118263,0.009112627800571475,0.019655219486543772,0.002,0.002,499,new_block_permuted_within_target_x_level_x_regime,1
