target_id,level,regime,candidate_count,construction_evaluation_spearman,construction_evaluation_pairwise,ERM_anchor_included
1,0,ALL_81,81,0.8301899579738397,0.8233281493001555,1
1,0,OACI,40,0.7820681276806508,0.8049095607235142,0
1,0,SRC,40,0.8390351725648116,0.8285714285714286,0
1,1,ALL_81,81,0.874575773838472,0.8518057285180572,1
1,1,OACI,40,0.8360463489050922,0.8314028314028314,0
1,1,SRC,40,0.9032984652897905,0.871927554980595,0
2,0,ALL_81,81,0.8063366769757611,0.7957724588125583,1
2,0,OACI,40,0.7192060636221405,0.7629533678756477,0
2,0,SRC,40,0.7083880684211572,0.7628865979381443,0
2,1,ALL_81,81,0.8152788922680431,0.8112562189054726,1
2,1,OACI,40,0.7428222931131545,0.7835051546391752,0
2,1,SRC,40,0.8606888176037137,0.8341968911917098,0
3,0,ALL_81,81,0.945111727292098,0.9080996884735203,1
3,0,OACI,40,0.9546222472826761,0.9182879377431906,0
3,0,SRC,40,0.8911360575616931,0.8808290155440415,0
3,1,ALL_81,81,0.9388961691195847,0.8921355299968915,1
3,1,OACI,40,0.9312722878296947,0.8917525773195877,0
3,1,SRC,40,0.9172882956376934,0.8838709677419355,0
5,0,ALL_81,81,0.7757218845145831,0.787042777433354,1
5,0,OACI,40,0.7198085891983235,0.7635658914728682,0
5,0,SRC,40,0.7477832586381048,0.7858064516129032,0
5,1,ALL_81,81,0.8136363641033085,0.8270186335403726,1
5,1,OACI,40,0.5183221559347763,0.7516170763260026,0
5,1,SRC,40,0.7779967167839541,0.7806451612903226,0
6,0,ALL_81,81,0.817815801179649,0.8120136943666355,1
6,0,OACI,40,0.7758434688107544,0.8044041450777202,0
6,0,SRC,40,0.749777110133005,0.7987012987012987,0
6,1,ALL_81,81,0.784994268708367,0.7998129092609916,1
6,1,OACI,40,0.585847684939477,0.7237354085603113,0
6,1,SRC,40,0.707832534837101,0.7771952817824378,0
7,0,ALL_81,81,0.8670352147177623,0.8431860609831985,1
7,0,OACI,40,0.6291760538215231,0.7448186528497409,0
7,0,SRC,40,0.7839714714714714,0.8069948186528497,0
7,1,ALL_81,81,0.6724343390287821,0.7397815912636505,1
7,1,OACI,40,0.6148864303413807,0.7191157347204161,0
7,1,SRC,40,0.1955981043028563,0.5636363636363636,0
8,0,ALL_81,81,0.8811939897462865,0.8551401869158879,1
8,0,OACI,40,0.8564860436355223,0.8348387096774194,0
8,0,SRC,40,0.7983201242819261,0.8238341968911918,0
8,1,ALL_81,81,0.9204393374084285,0.8835978835978836,1
8,1,OACI,40,0.898962880524356,0.8714285714285714,0
8,1,SRC,40,0.9100206417714393,0.884020618556701,0
9,0,ALL_81,81,0.8192639776059968,0.8206724782067247,1
9,0,OACI,40,0.678338508626336,0.757496740547588,0
9,0,SRC,40,0.8496762691188889,0.8462532299741602,0
9,1,ALL_81,81,0.7538613080438058,0.7702957835116425,1
9,1,OACI,40,0.6531995765000473,0.7445652173913043,0
9,1,SRC,40,0.6688564951876913,0.7318652849740933,0
