path,target_id,prior_rho,full_rho,delta_rho,increment_residual_rho,incremental_R2,positive_increment
strict_source,1,0.7346842287900002,0.5501335489866402,-0.18455067980335993,-0.2789385811525048,-0.32876806563532734,0
strict_source,2,0.6791052149572872,0.6304325736417047,-0.048672641315582466,-0.01165037308008767,-0.11721094898122342,0
strict_source,3,0.4578583796593196,0.32651808301831003,-0.13134029664100955,-0.36752657851617576,-0.2289252415863805,0
strict_source,5,0.6801008839771516,0.6011821511664601,-0.0789187328106915,-0.14118897314416118,-0.20328751384268018,0
strict_source,6,0.509559282849887,0.42954245909299993,-0.08001682375688712,-0.301542139632297,-0.18336138708277638,0
strict_source,7,0.6337490159719765,0.6200330139649085,-0.013716002007068018,0.012418126315165525,-0.05364853339452269,1
strict_source,8,0.5441473790116919,0.5465551420017863,0.0024077629900944864,-0.2314479628430015,-0.2767192717564795,0
strict_source,9,0.6938854157246077,0.6585836100652741,-0.03530180565933361,0.0868619638958396,-0.043485058314102654,1
target_unlabeled,1,0.6902860451796692,0.5627679357779074,-0.12751810940176178,-0.15615733860599157,-0.2113020019970251,0
target_unlabeled,2,0.7600818574058289,0.7142784560877695,-0.04580340131805938,-0.14318456703092608,-0.1924760455629233,0
target_unlabeled,3,0.7736613729807862,0.6412413814480374,-0.13241999153274875,-0.37507709286850394,-0.3142178241532545,0
target_unlabeled,5,0.7789606503891138,0.7811299028942559,0.002169252505142105,0.16128039787682358,-0.02227062678581082,1
target_unlabeled,6,0.7843875887096311,0.7098596249307052,-0.0745279637789259,-0.20298181807917737,-0.16167275074905985,0
target_unlabeled,7,0.6369543092996213,0.6560068212458458,0.019052511946224482,0.1930151391341042,0.009249394387733645,1
target_unlabeled,8,0.5627419144129202,0.5265972425627903,-0.03614467185012993,-0.4378945496576864,-0.30622617732950164,0
target_unlabeled,9,0.7027489747978772,0.676656519927251,-0.02609245487062628,0.062209181707714646,-0.09777564608272682,1
