path,kernel,bandwidth_factor,statistic,association,median_target_association,positive_targets
strict_source,rbf,0.5,normalized_alignment,0.04458705290349839,0.0445766170130452,8
strict_source,rbf,0.5,centered_hsic,0.08733719902697767,0.08467372987948352,8
strict_source,rbf,1.0,normalized_alignment,0.011477791222821863,0.010305913260868603,6
strict_source,rbf,1.0,centered_hsic,0.07332251571025442,0.0659341571233916,8
strict_source,rbf,2.0,normalized_alignment,-0.0017771019711968201,-0.0022454767721335313,1
strict_source,rbf,2.0,centered_hsic,0.065426721453155,0.05728138957912409,8
strict_source,laplacian,0.5,normalized_alignment,0.04099883456167877,0.03905164259926373,8
strict_source,laplacian,0.5,centered_hsic,0.09824544007631265,0.09479050092571638,8
strict_source,laplacian,1.0,normalized_alignment,0.018825731200643753,0.017814791978999517,8
strict_source,laplacian,1.0,centered_hsic,0.09104801647558114,0.08732650325798763,8
strict_source,laplacian,2.0,normalized_alignment,0.005809625775296562,0.005222454651821335,6
strict_source,laplacian,2.0,centered_hsic,0.08601783254773394,0.0813899288275918,8
target_unlabeled,rbf,0.5,normalized_alignment,0.05628235695403061,0.0559316714778081,8
target_unlabeled,rbf,0.5,centered_hsic,0.10193504302484019,0.100065559655893,8
target_unlabeled,rbf,1.0,normalized_alignment,0.019605823875086234,0.014182161003862607,8
target_unlabeled,rbf,1.0,centered_hsic,0.09776226730128994,0.08800377757233013,8
target_unlabeled,rbf,2.0,normalized_alignment,0.0010102737336646357,-0.0012531891513061567,4
target_unlabeled,rbf,2.0,centered_hsic,0.09468941476928372,0.0810514490647714,8
target_unlabeled,laplacian,0.5,normalized_alignment,0.05135428266262085,0.049280460977862456,8
target_unlabeled,laplacian,0.5,centered_hsic,0.11152053213733851,0.10838137964028954,8
target_unlabeled,laplacian,1.0,normalized_alignment,0.026830450805112087,0.02429264143935537,8
target_unlabeled,laplacian,1.0,centered_hsic,0.10952463346637258,0.10484988580955056,8
target_unlabeled,laplacian,2.0,normalized_alignment,0.010465199200752959,0.0083364533180088,7
target_unlabeled,laplacian,2.0,centered_hsic,0.10772429568491568,0.10157830685849133,8
