path,sha256,size_bytes,reference_read_only
oaci/conditioned_ceiling_coverage/c79p_post_seed3_protocol.py,1b5d72989f02b5da81c1ea55e807884958f8ddc58673322b8c5fb46fb190056f,39708,
oaci/conditioned_ceiling_coverage/c79e_seed4_replication.py,526b4f9fcf900778fad19cd9c799cfb77cff2812279a6b2d9f42e372ade16f6a,29534,
oaci/tests/test_c79p_post_seed3_protocol.py,7ce4ec7e5f37069ae95d55f6f00c12d7afdb8bc4b0d37876adf15bb482960aad,10111,
oaci/slurm_c79p_regression.sh,98c649bdab67bf48eeef0da1e4c6b6ece5c799f0ff343e85117a8311217f9e77,1326,
oaci/slurm_c79e_field.sh,e4babd86896f8e3b3d7acefc2aadf0760beb2c59c71f565213fc107d0b1e33e2,923,
oaci/slurm_c79e_field_cpu.sh,37f24d9217297f200fbd29478a763240c782c3c330a628e7b43d9d33070b9b74,875,
oaci/slurm_c79e_analysis.sh,08daccbc6033db7e52fa3b5379043b865109e4dc9304213517d6121de096c2d1,642,
oaci/conditioned_ceiling_coverage/c78s_protocol.py,4c9ad2c3e3516167716b79b73893f3714ce14aba99bc3ed21dd9c6d20a0a8ef7,20267,1
oaci/conditioned_ceiling_coverage/c78s_modeling.py,372f4b5e0315d487c452e74ce78736583c105a16c027362e4d96cc713d8175ca,28023,1
oaci/conditioned_ceiling_coverage/c78s_seed3_scientific_analysis.py,785e1a29f64ae03898aeb832914afc0cc4097db5ae5dfd0d0dfddbac1306c4f8,81808,1
oaci/reports/c78s_tables/feature_block_registry.csv,accc2e5c3a45fcb39fc31f2196ee227ce504a08e17f743e46a0f654cf42420c1,974,1
