order,path_id,family,role,raw_p_source,adjustment,decision_use
1,P1_M,seed4_replication_six_member,co_primary,exact_target_sign_flip_p,Holm_alpha_0.05,P1_measurement_requires_reject
2,H2R,seed4_replication_six_member,mandatory_secondary,499_stratified_permutation_p,Holm_alpha_0.05,H2R_qualification_requires_reject
3,P2_L,seed4_replication_six_member,co_primary,worst_of_six_global_max_stat_p,Holm_alpha_0.05,P2_local_requires_reject
4,H4R,seed4_replication_six_member,mandatory_secondary,ridge_global_max_stat_p,Holm_reported_but_nonqualification_not_null_acceptance,candidate_gate_report
5,H5R,seed4_replication_six_member,mandatory_secondary,ridge_global_max_stat_p,Holm_reported_but_nonqualification_not_null_acceptance,candidate_gate_report
6,H6R,seed4_replication_six_member,mandatory_secondary,exact_target_sign_flip_p,Holm_alpha_0.05,H6R_active_requires_reject
NA,P1_A,nested_gate,co_primary,none,none,P1_material_actionability
NA,P2_T_LOTO,nested_gate,co_primary,registered_KRR_global_max_stat_p,no_extra_family_member,P2_transport_qualification
NA,P2_T_LORO,nested_gate,co_primary,registered_KRR_global_max_stat_p,no_extra_family_member,P2_transport_qualification
NA,XSEED,secondary_descriptive,secondary,none,no_pvalue_combination,heterogeneity_only_no_rescue
