risk,status,blocking_open,evidence,mitigation
historical_protocol_retroactively_relabelled,CLOSED,0,protocol_supersession_ledger.csv,historical artifact retained and marked invalid for execution
skeleton_mistaken_for_final_protocol,CLOSED,0,historical_protocol_timing_replay.csv,skeleton status quoted exactly
generator_mistaken_for_instantiated_lock,CLOSED,0,historical_generator_decision_trace.csv,precommit transparency separated from final protocol timing
active_after_Holm_outcome_selection,CLOSED_FOR_REPLACEMENT,0,c79_post_seed3_scientific_registry.csv,all ten paths run unconditionally
historical_2_of_16_registry_incompleteness,CLOSED_FOR_REPLACEMENT,0,c79_registry_completeness_audit.csv,new registry 160 of 160
replacement_protocol_overwrites_history,CLOSED,0,protocol_supersession_ledger.csv,additive new filename and no history rewrite
seed4_access_before_replacement_lock,CLOSED,0,seed4_untouched_audit.csv,all counters zero
seed4_checkpoint_outcome_peeking,CLOSED,0,seed4_untouched_audit.csv,no seed4 field exists
same_raw_trials_called_new_population,CLOSED_CLAIM_GUARD,0,C79_POST_SEED3_PROTOCOL_CLAIM_CONTRACT.md,training-seed robustness only
seed3_seed4_treated_as_independent_subjects,CLOSED_CLAIM_GUARD,0,cross_seed_estimand_registry.csv,paired target and shared-trial dependence
unregistered_cross_seed_pooling,CLOSED,0,cross_seed_estimand_registry.csv,seed4-only primary and no p pooling
near_threshold_pvalue_rescue,CLOSED,0,primary_secondary_family_registry.csv,fixed seed4 Holm family and no combined p
P1_actionability_called_source_only_control,CLOSED_CLAIM_GUARD,0,c79_post_seed3_scientific_registry.csv,target-construction diagnostic tag
H2_failure_called_universal_multiplicity_null,CLOSED_CLAIM_GUARD,0,c79_post_seed3_scientific_registry.csv,exact model nonqualification only
H4_H5_nonqualification_called_impossibility,CLOSED_CLAIM_GUARD,0,c79_post_seed3_scientific_registry.csv,registered candidate only
P2_association_called_mechanism,CLOSED_CLAIM_GUARD,0,c79_post_seed3_scientific_registry.csv,association-only language
P2_transport_failure_generalized_to_all_functions,CLOSED_CLAIM_GUARD,0,c79_post_seed3_scientific_registry.csv,fixed relation only
target4_enters_primary_family,CLOSED,0,scientific_degrees_of_freedom.csv,target4 mechanically excluded
ERM_treated_as_full_trajectory,CLOSED,0,c79_post_seed3_scientific_registry.csv,ERM anchor excluded from 32-cell denominator
trial_rows_treated_iid,CLOSED,0,c79_post_seed3_scientific_registry.csv,target and trial clustering locked
trial_ID_or_row_order_used_as_feature,CLOSED,0,c79_post_seed3_scientific_registry.csv,keys and clusters only
construction_evaluation_overlap,CLOSED,0,seed_perturbation_registry.csv,exact split table and zero overlap
same_label_oracle_reachable,CLOSED,0,scientific_degrees_of_freedom.csv,primary path unreachable
kernel_or_feature_retuning_after_seed3,CLOSED,0,scientific_degrees_of_freedom.csv,exact fixed blocks and kernel
interim_seed4_branching,CLOSED,0,scientific_degrees_of_freedom.csv,all paths unconditional
outcome_dependent_retry_or_retention,CLOSED_BY_PROTOCOL,0,C79_POST_SEED3_SEED4_REPLICATION_PROTOCOL.json,engineering-only first-valid retry
raw_cache_or_weights_in_git,CLOSED_BY_POLICY,0,C79_POST_SEED3_SEED4_REPLICATION_PROTOCOL.json,external content-addressed payload only
payload_over_50MiB_in_git,CLOSED_BY_POLICY,0,C79_POST_SEED3_SEED4_REPLICATION_PROTOCOL.json,Git compact artifacts only
unauthorized_training_forward_GPU,CLOSED,0,seed4_untouched_audit.csv,C79P no execution and future direct authorization required
BNCI2014_004_scope_creep,CLOSED,0,C79_POST_SEED3_PROTOCOL_CLAIM_CONTRACT.md,dataset denylist
manuscript_scope_creep,CLOSED,0,C79_POST_SEED3_PROTOCOL_CLAIM_CONTRACT.md,not authorized
C80_automatic_authorization,CLOSED,0,C79_POST_SEED3_PROTOCOL_CLAIM_CONTRACT.md,explicit stop rule
