dimension,seed3,seed4,C79P_lock,status
training_seed,3,4,change_only_registered_random_seed,CHANGED
raw_EEG_trials,BNCI2014_001_same_trial_IDs,BNCI2014_001_same_trial_IDs,fixed,FIXED
source_target_roles,LOSO_exact,LOSO_exact,fixed,FIXED
construction_evaluation_partition,table_sha_7d718e6c,table_sha_7d718e6c,fixed_exact_hashes,FIXED
historical_regimes,ERM|OACI|SRC,ERM|OACI|SRC,fixed,FIXED
checkpoint_cadence,ERM_anchor|OACI_40|SRC_40,ERM_anchor|OACI_40|SRC_40,fixed,FIXED
training_objectives,C78F_historical_contract,C78F_historical_contract,fixed,FIXED
instrumentation,logits|probabilities|z|Wz|Wz_plus_b,logits|probabilities|z|Wz|Wz_plus_b,fixed,FIXED
analysis_formulas,C78S_commit_e561a15_mechanical,C79P_exact_parameterization,fixed_by_registry,FIXED
analysis_RNG,7803_base,7803_base,fixed_for_exact_replay,FIXED
learned_parameters,seed3_specific,seed4_specific,expected_change,CHANGED
optimizer_trajectory,seed3_specific,seed4_specific,expected_change,CHANGED
checkpoint_outcome_field,seed3_observed,seed4_protected_until_execution,expected_change,PROTECTED
study_class,exploratory_seed3,outcome_informed_seed4_replication,postseed3_prospective_not_pretend_preC78S,DECLARED
