milestone,role,commit,ancestor_of_C79P_base,passed
C78F,protocol,1d210fdbf6333755ded53dead92c0f9f7ce7cefe,1,1
C78F,execution_lock,a9029668fad767f58230ec7b8d24fcabae85a642,1,1
C78F,collector_repair,f0d49c2ff038c91779d7d580e8562068b1ad0706,1,1
C78F,result,51022f4e247e0217ebb54403d419d121071fe0e7,1,1
C78F,handoff,e74b20ed09a09995709e820f1e7a0db99718cfe4,1,1
C78S,implementation,e561a15865934036bdccbc1e3b2ff126ad84821f,1,1
C78S,execution_lock,ce1fb14c960f5b2da62b60d65ab40af098cf274e,1,1
C78S,result,43a046c5ba6632de415bfdbaacfa524d82c5395e,1,1
C78S,final_handoff,ef2a01a4e948143be5eb58c3370142b5eecf7178,1,1
C79_Mode_R,audit,70c31bb7be239ee16d3f7f2730920dc1a87895f6,1,1
C79_Mode_R,regression_red_team,d180cbe,1,1
C79_Mode_R,handoff_base,2ea4ec3a9816d0ea7372b9fabda4b1cb7d9c6cae,1,1
