check,passed,blocking_failure
replacement_protocol_hash_replays,1,0
protocol_commit_precedes_implementation,1,0
field_lock_pushed,1,0
analysis_lock_pushed,1,0
registry_160_of_160,1,0
all_paths_unconditional,1,0
seed3_exact_replay,1,0
target4_excluded_primary,1,0
expected_1458_units,1,0
oracle_unreachable,1,0
label_views_closed_in_C79P,1,0
seed4_untouched,1,0
future_authorization_not_consumed,1,0
no_oversize_payload,1,0
no_raw_payload,1,0
historical_protocol_retained,1,0
no_active_after_Holm,1,0
claim_contract_present,1,0
BNCI2014_004_not_authorized,1,0
C80_not_authorized,1,0
