check_type,item,expected,observed,absolute_error,tolerance,passed
reference_metric,H1_split_label_reliability,0.7708629907592237,0.7708629907592237,0.0,1e-12,1
reference_metric,H1_Holm_p,0.058365758754863814,0.058365758754863814,0.0,1e-12,1
reference_metric,H1_construction_top1,0.125,0.125,0.0,1e-12,1
reference_metric,H1_construction_top5,0.6875,0.6875,0.0,1e-12,1
reference_metric,H1_construction_top10,0.75,0.75,0.0,1e-12,1
reference_metric,H1_random_top1,0.012345679012345678,0.012345679012345678,0.0,1e-12,1
reference_metric,H1_random_top5,0.06172839506172839,0.06172839506172839,0.0,1e-12,1
reference_metric,H1_random_top10,0.12345679012345678,0.12345679012345678,0.0,1e-12,1
reference_metric,H1_standardized_regret,0.08279432226091084,0.08279432226091084,0.0,1e-12,1
reference_metric,H1_random_expected_regret,0.482,0.48198217863506276,1.782136493722053e-05,0.0005,1
reference_metric,H2_held_target_deviance_change,9.505920587315757,9.505920587315757,0.0,1e-12,1
reference_metric,H2_permutation_p,0.896,0.896,0.0,1e-12,1
reference_metric,H3_local_association,0.24265629215048484,0.24265629215048484,0.0,1e-12,1
reference_metric,H3_positive_trajectory_cells,32.0,32.0,0.0,1e-12,1
reference_metric,H3_worst_control_p,0.002,0.002,0.0,1e-12,1
reference_metric,H3_LOTO_incremental_R2,-0.21287505480736912,-0.21287505480736912,0.0,1e-12,1
reference_metric,H3_LORO_incremental_R2,-0.08579644289995947,-0.08579644289995947,0.0,1e-12,1
reference_metric,H4_F2_incremental_R2,-0.07308583875591457,-0.07308583875591457,0.0,1e-12,1
reference_metric,H5_F4_incremental_R2,0.005176499403102386,0.005176499403102386,0.0,1e-12,1
reference_metric,H6_incremental_R2,0.40432932651535547,0.40432932651535547,0.0,1e-12,1
reference_metric,H6_raw_p,0.019455252918287938,0.019455252918287938,0.0,1e-12,1
reference_metric,H6_Holm_p,0.07782101167315175,0.07782101167315175,0.0,1e-12,1
structural,candidate_count_per_target_level,81,81,0,0,1
structural,random_top1,0.012345679012345678,0.012345679012345678,0.0,0,1
structural,random_top5,0.06172839506172839,0.06172839506172839,0.0,0,1
structural,random_top10,0.12345679012345678,0.12345679012345678,0.0,0,1
structural,primary_targets,8,8,0,0,1
structural,trajectory_cells,32,32,0,0,1
structural,registered_paths,10,10,0,0,1
