path,metric,expected,observed,tolerance,passed
P1,H1_split_label_reliability,0.7708629907592237,0.7708629907592237,1e-12,1
P1,H1_Holm_p,0.058365758754863814,0.058365758754863814,1e-12,1
P1,construction_top1,0.125,0.125,1e-12,1
P1,construction_top5,0.6875,0.6875,1e-12,1
P1,construction_top10,0.75,0.75,1e-12,1
P1,random_top1,0.012345679012345678,0.012345679012345678,1e-12,1
P1,random_top5,0.06172839506172839,0.06172839506172839,1e-12,1
P1,random_top10,0.12345679012345678,0.12345679012345678,1e-12,1
P1,standardized_regret,0.08279432226091084,0.08279432226091084,1e-12,1
P1,random_expected_standardized_regret,0.482,0.48198217863506276,0.0005,1
H2R,held_target_deviance_change,9.505920587315757,9.505920587315757,1e-12,1
H2R,permutation_p,0.896,0.896,1e-12,1
P2,local_association,0.24265629215048484,0.24265629215048484,1e-12,1
P2,positive_trajectory_cells,32,32,0,1
P2,worst_control_p,0.002,0.002,1e-12,1
P2,LOTO_incremental_R2,-0.21287505480736912,-0.21287505480736912,1e-12,1
P2,LORO_incremental_R2,-0.08579644289995947,-0.08579644289995947,1e-12,1
H4R,F2_incremental_R2,-0.07308583875591457,-0.07308583875591457,1e-12,1
H5R,F4_incremental_R2,0.005176499403102386,0.005176499403102386,1e-12,1
H6R,incremental_R2,0.40432932651535547,0.40432932651535547,1e-12,1
H6R,raw_p,0.019455252918287938,0.019455252918287938,1e-12,1
H6R,Holm_p,0.07782101167315175,0.07782101167315175,1e-12,1
