category,present_in_historical_final_protocol,status
01_path_id_and_hypothesis_role,0,missing
02_scientific_claim,0,missing
03_information_class,0,missing
04_seed_population_targets_and_exclusions,0,missing
05_regime_trajectory_and_candidate_universe,1,bound
06_feature_block_or_descriptor_formula,0,not_path_specific
07_base_and_conditioning_model,0,missing
08_construction_evaluation_split_and_trial_hashes,0,missing
09_statistic_effect_size_and_sign_convention,0,missing
10_outer_inner_splits_and_dependence_groups,0,missing
11_null_permutation_bootstrap_and_RNG_stream,0,missing
12_kernel_bandwidth_scaling_or_model_hyperparameters,0,missing
13_materiality_or_candidate_qualification_threshold,0,not_path_specific
14_multiplicity_family_correction_and_hypothesis_order,1,partially_bound
15_success_failure_heterogeneity_and_blocker_rules,0,missing
16_allowed_interpretation_and_forbidden_interpretation,0,missing
