job_key,seed,target,level,candidate_role,candidate_order,candidate_id,split,feature_population_match,support_graph_available,fold_plan_available,cell_mass_accounting_pass,atom_additive_pass,persisted_aggregate_identity_pass,first_divergent_stage,stagewise_interpretation
0|1|0|16|better|selection,0,1,0,better,16,s0_t001_l000_S0_full_support_o016,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
0|1|0|15|selected|selection,0,1,0,selected,15,s0_t001_l000_S0_full_support_o015,selection,1,1,1,1,1,1,none,all observed stages pass
0|1|1|13|better|selection,0,1,1,better,13,s0_t001_l001_S0_full_support_o013,selection,1,1,1,1,1,1,none,all observed stages pass
0|1|1|14|selected|selection,0,1,1,selected,14,s0_t001_l001_S0_full_support_o014,selection,1,1,1,1,1,1,none,all observed stages pass
0|2|0|1|better|selection,0,2,0,better,1,s0_t002_l000_S0_full_support_o001,selection,1,1,1,1,1,1,none,all observed stages pass
0|2|0|2|selected|selection,0,2,0,selected,2,s0_t002_l000_S0_full_support_o002,selection,1,1,1,1,1,1,none,all observed stages pass
0|2|1|1|better|selection,0,2,1,better,1,s0_t002_l001_S0_full_support_o001,selection,1,1,1,1,1,1,none,all observed stages pass
0|2|1|0|selected|selection,0,2,1,selected,0,s0_t002_l001_S0_full_support_o000,selection,1,1,1,1,1,1,none,all observed stages pass
0|3|0|1|better|selection,0,3,0,better,1,s0_t003_l000_S0_full_support_o001,selection,1,1,1,1,1,1,none,all observed stages pass
0|3|0|0|selected|selection,0,3,0,selected,0,s0_t003_l000_S0_full_support_o000,selection,1,1,1,1,1,1,none,all observed stages pass
0|3|1|10|better|selection,0,3,1,better,10,s0_t003_l001_S0_full_support_o010,selection,1,1,1,1,1,1,none,all observed stages pass
0|3|1|4|selected|selection,0,3,1,selected,4,s0_t003_l001_S0_full_support_o004,selection,1,1,1,1,1,1,none,all observed stages pass
0|4|1|1|better|selection,0,4,1,better,1,s0_t004_l001_S0_full_support_o001,selection,1,1,1,1,1,1,none,all observed stages pass
0|4|1|2|selected|selection,0,4,1,selected,2,s0_t004_l001_S0_full_support_o002,selection,1,1,1,1,1,1,none,all observed stages pass
0|5|0|18|better|selection,0,5,0,better,18,s0_t005_l000_S0_full_support_o018,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
0|5|0|19|selected|selection,0,5,0,selected,19,s0_t005_l000_S0_full_support_o019,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
0|6|1|19|better|selection,0,6,1,better,19,s0_t006_l001_S0_full_support_o019,selection,1,1,1,1,1,1,none,all observed stages pass
0|6|1|20|selected|selection,0,6,1,selected,20,s0_t006_l001_S0_full_support_o020,selection,1,1,1,1,1,1,none,all observed stages pass
0|7|1|0|better|selection,0,7,1,better,0,s0_t007_l001_S0_full_support_o000,selection,1,1,1,1,1,1,none,all observed stages pass
0|7|1|5|selected|selection,0,7,1,selected,5,s0_t007_l001_S0_full_support_o005,selection,1,1,1,1,1,1,none,all observed stages pass
0|8|0|15|better|selection,0,8,0,better,15,s0_t008_l000_S0_full_support_o015,selection,1,1,1,1,1,1,none,all observed stages pass
0|8|0|17|selected|selection,0,8,0,selected,17,s0_t008_l000_S0_full_support_o017,selection,1,1,1,1,1,1,none,all observed stages pass
0|9|0|18|better|selection,0,9,0,better,18,s0_t009_l000_S0_full_support_o018,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
0|9|0|19|selected|selection,0,9,0,selected,19,s0_t009_l000_S0_full_support_o019,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
0|9|1|13|better|selection,0,9,1,better,13,s0_t009_l001_S0_full_support_o013,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
0|9|1|12|selected|selection,0,9,1,selected,12,s0_t009_l001_S0_full_support_o012,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
1|1|0|5|better|selection,1,1,0,better,5,s1_t001_l000_S0_full_support_o005,selection,1,1,1,1,1,1,none,all observed stages pass
1|1|0|6|selected|selection,1,1,0,selected,6,s1_t001_l000_S0_full_support_o006,selection,1,1,1,1,1,1,none,all observed stages pass
1|1|1|15|better|selection,1,1,1,better,15,s1_t001_l001_S0_full_support_o015,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
1|1|1|16|selected|selection,1,1,1,selected,16,s1_t001_l001_S0_full_support_o016,selection,1,1,1,1,1,1,none,all observed stages pass
1|2|0|17|better|selection,1,2,0,better,17,s1_t002_l000_S0_full_support_o017,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
1|2|0|18|selected|selection,1,2,0,selected,18,s1_t002_l000_S0_full_support_o018,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
1|2|1|1|better|selection,1,2,1,better,1,s1_t002_l001_S0_full_support_o001,selection,1,1,1,1,1,1,none,all observed stages pass
1|2|1|2|selected|selection,1,2,1,selected,2,s1_t002_l001_S0_full_support_o002,selection,1,1,1,1,1,1,none,all observed stages pass
1|3|0|11|better|selection,1,3,0,better,11,s1_t003_l000_S0_full_support_o011,selection,1,1,1,1,1,1,none,all observed stages pass
1|3|0|8|selected|selection,1,3,0,selected,8,s1_t003_l000_S0_full_support_o008,selection,1,1,1,1,1,1,none,all observed stages pass
1|3|1|3|better|selection,1,3,1,better,3,s1_t003_l001_S0_full_support_o003,selection,1,1,1,1,1,1,none,all observed stages pass
1|3|1|11|selected|selection,1,3,1,selected,11,s1_t003_l001_S0_full_support_o011,selection,1,1,1,1,1,1,none,all observed stages pass
1|5|1|16|better|selection,1,5,1,better,16,s1_t005_l001_S0_full_support_o016,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
1|5|1|17|selected|selection,1,5,1,selected,17,s1_t005_l001_S0_full_support_o017,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
1|6|0|17|better|selection,1,6,0,better,17,s1_t006_l000_S0_full_support_o017,selection,1,1,1,1,1,1,none,all observed stages pass
1|6|0|18|selected|selection,1,6,0,selected,18,s1_t006_l000_S0_full_support_o018,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
1|6|1|5|better|selection,1,6,1,better,5,s1_t006_l001_S0_full_support_o005,selection,1,1,1,1,1,1,none,all observed stages pass
1|6|1|6|selected|selection,1,6,1,selected,6,s1_t006_l001_S0_full_support_o006,selection,1,1,1,1,1,1,none,all observed stages pass
1|7|1|14|better|selection,1,7,1,better,14,s1_t007_l001_S0_full_support_o014,selection,1,1,1,1,1,1,none,all observed stages pass
1|7|1|15|selected|selection,1,7,1,selected,15,s1_t007_l001_S0_full_support_o015,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
1|8|0|14|better|selection,1,8,0,better,14,s1_t008_l000_S0_full_support_o014,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
1|8|0|15|selected|selection,1,8,0,selected,15,s1_t008_l000_S0_full_support_o015,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
1|8|1|20|better|selection,1,8,1,better,20,s1_t008_l001_S0_full_support_o020,selection,1,1,1,1,1,1,none,all observed stages pass
1|8|1|21|selected|selection,1,8,1,selected,21,s1_t008_l001_S0_full_support_o021,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
1|9|1|16|better|selection,1,9,1,better,16,s1_t009_l001_S0_full_support_o016,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
1|9|1|14|selected|selection,1,9,1,selected,14,s1_t009_l001_S0_full_support_o014,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
2|1|1|0|better|selection,2,1,1,better,0,s2_t001_l001_S0_full_support_o000,selection,1,1,1,1,1,1,none,all observed stages pass
2|1|1|1|selected|selection,2,1,1,selected,1,s2_t001_l001_S0_full_support_o001,selection,1,1,1,1,1,1,none,all observed stages pass
2|2|1|1|better|selection,2,2,1,better,1,s2_t002_l001_S0_full_support_o001,selection,1,1,1,1,1,1,none,all observed stages pass
2|2|1|0|selected|selection,2,2,1,selected,0,s2_t002_l001_S0_full_support_o000,selection,1,1,1,1,1,1,none,all observed stages pass
2|3|0|16|better|selection,2,3,0,better,16,s2_t003_l000_S0_full_support_o016,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
2|3|0|15|selected|selection,2,3,0,selected,15,s2_t003_l000_S0_full_support_o015,selection,1,1,1,1,1,0,persisted_aggregate_point_identity,recomputed point equals persisted C37 point at 1e-9
2|3|1|4|better|selection,2,3,1,better,4,s2_t003_l001_S0_full_support_o004,selection,1,1,1,1,1,1,none,all observed stages pass
2|3|1|5|selected|selection,2,3,1,selected,5,s2_t003_l001_S0_full_support_o005,selection,1,1,1,1,1,1,none,all observed stages pass
