regime,status,count
S0_full_support,scored,1268
S0_full_support,abstained_source_accuracy_endpoint_nonestimable,0
S0_full_support,abstained_insufficient_finite_features,0
S0_full_support,abstained_constant_or_degenerate_fold,0
S2_rare_cells,scored,1268
S2_rare_cells,abstained_source_accuracy_endpoint_nonestimable,0
S2_rare_cells,abstained_insufficient_finite_features,0
S2_rare_cells,abstained_constant_or_degenerate_fold,0
S3_nonestimable_cells,scored,1268
S3_nonestimable_cells,abstained_source_accuracy_endpoint_nonestimable,0
S3_nonestimable_cells,abstained_insufficient_finite_features,0
S3_nonestimable_cells,abstained_constant_or_degenerate_fold,0
