subset_seed,unique_data_h,subject,windows,hours,recordings,group_ids
0,200,16,10,0.083333333,1,1b459fa27e8ef82f_LE
0,200,38,28,0.233333333,1,015e0f55bbea866b_LE
0,200,59,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,76,33,0.275000000,1,015e0f55bbea866b_LE
0,200,79,39,0.325000000,1,015e0f55bbea866b_LE
0,200,88,44,0.366666667,1,1b459fa27e8ef82f_LE
0,200,90,26,0.216666667,1,015e0f55bbea866b_LE
0,200,102,32,0.266666667,1,015e0f55bbea866b_LE
0,200,129,35,0.291666667,1,1b459fa27e8ef82f_LE
0,200,131,4,0.033333333,1,015e0f55bbea866b_LE
0,200,145,45,0.375000000,1,1b459fa27e8ef82f_LE
0,200,147,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,152,39,0.325000000,1,015e0f55bbea866b_LE
0,200,182,209,1.741666667,1,1b459fa27e8ef82f_LE
0,200,193,38,0.316666667,2,1b459fa27e8ef82f_LE
0,200,200,40,0.333333333,1,015e0f55bbea866b_LE
0,200,227,34,0.283333333,1,1b459fa27e8ef82f_LE
0,200,253,39,0.325000000,1,015e0f55bbea866b_LE
0,200,264,50,0.416666667,1,015e0f55bbea866b_LE
0,200,266,9,0.075000000,1,1b459fa27e8ef82f_LE
0,200,268,40,0.333333333,1,015e0f55bbea866b_LE
0,200,279,43,0.358333333,1,1b459fa27e8ef82f_LE
0,200,283,40,0.333333333,1,015e0f55bbea866b_LE
0,200,293,21,0.175000000,1,1b459fa27e8ef82f_LE
0,200,298,50,0.416666667,1,015e0f55bbea866b_LE
0,200,315,46,0.383333333,1,015e0f55bbea866b_LE
0,200,329,39,0.325000000,1,1b459fa27e8ef82f_LE
0,200,340,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,352,176,1.466666667,10,8f63aeb560d76a12_REF
0,200,354,14,0.116666667,1,1b459fa27e8ef82f_LE
0,200,398,52,0.433333333,1,015e0f55bbea866b_LE
0,200,400,1,0.008333333,1,015e0f55bbea866b_LE
0,200,404,42,0.350000000,1,1b459fa27e8ef82f_LE
0,200,420,43,0.358333333,1,1b459fa27e8ef82f_LE
0,200,422,44,0.366666667,2,015e0f55bbea866b_LE
0,200,429,43,0.358333333,1,015e0f55bbea866b_LE
0,200,444,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,449,23,0.191666667,1,015e0f55bbea866b_LE
0,200,454,3,0.025000000,2,015e0f55bbea866b_LE;1b459fa27e8ef82f_LE
0,200,509,50,0.416666667,1,015e0f55bbea866b_LE
0,200,518,4,0.033333333,1,1b459fa27e8ef82f_LE
0,200,529,34,0.283333333,1,015e0f55bbea866b_LE
0,200,560,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,569,42,0.350000000,1,015e0f55bbea866b_LE
0,200,606,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,622,42,0.350000000,1,1b459fa27e8ef82f_LE
0,200,633,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,650,42,0.350000000,1,1b459fa27e8ef82f_LE
0,200,658,41,0.341666667,1,1b459fa27e8ef82f_LE
0,200,666,7,0.058333333,1,1b459fa27e8ef82f_LE
0,200,668,75,0.625000000,2,1b459fa27e8ef82f_LE
0,200,674,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,678,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,683,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,689,3,0.025000000,1,1b459fa27e8ef82f_LE
0,200,707,41,0.341666667,1,015e0f55bbea866b_LE
0,200,710,43,0.358333333,1,1b459fa27e8ef82f_LE
0,200,714,41,0.341666667,1,1b459fa27e8ef82f_LE
0,200,718,19,0.158333333,1,1b459fa27e8ef82f_LE
0,200,733,4,0.033333333,1,015e0f55bbea866b_LE
0,200,765,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,770,119,0.991666667,1,015e0f55bbea866b_LE
0,200,774,39,0.325000000,1,015e0f55bbea866b_LE
0,200,781,43,0.358333333,1,015e0f55bbea866b_LE
0,200,791,21,0.175000000,1,015e0f55bbea866b_LE
0,200,801,23,0.191666667,3,015e0f55bbea866b_LE
0,200,811,51,0.425000000,1,015e0f55bbea866b_LE
0,200,833,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,837,35,0.291666667,1,1b459fa27e8ef82f_LE
0,200,854,6,0.050000000,1,015e0f55bbea866b_LE
0,200,861,14,0.116666667,1,1b459fa27e8ef82f_LE
0,200,863,355,2.958333333,1,1b459fa27e8ef82f_LE
0,200,865,40,0.333333333,1,810e5e581c9b962e_REF
0,200,866,47,0.391666667,1,015e0f55bbea866b_LE
0,200,872,18,0.150000000,3,1b459fa27e8ef82f_LE
0,200,885,21,0.175000000,1,1b459fa27e8ef82f_LE
0,200,925,48,0.400000000,1,1b459fa27e8ef82f_LE
0,200,948,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,955,10,0.083333333,1,015e0f55bbea866b_LE
0,200,970,45,0.375000000,1,015e0f55bbea866b_LE
0,200,973,30,0.250000000,1,015e0f55bbea866b_LE
0,200,974,11,0.091666667,1,015e0f55bbea866b_LE
0,200,979,7,0.058333333,1,015e0f55bbea866b_LE
0,200,996,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,1004,39,0.325000000,1,015e0f55bbea866b_LE
0,200,1009,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,1039,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,1055,42,0.350000000,1,1b459fa27e8ef82f_LE
0,200,1062,48,0.400000000,1,1b459fa27e8ef82f_LE
0,200,1081,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,1099,7,0.058333333,1,1b459fa27e8ef82f_LE
0,200,1123,40,0.333333333,1,015e0f55bbea866b_LE
0,200,1124,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,1136,40,0.333333333,1,015e0f55bbea866b_LE
0,200,1138,56,0.466666667,1,015e0f55bbea866b_LE
0,200,1150,40,0.333333333,1,015e0f55bbea866b_LE
0,200,1158,1,0.008333333,1,015e0f55bbea866b_LE
0,200,1173,26,0.216666667,1,1b459fa27e8ef82f_LE
0,200,1196,15,0.125000000,1,810e5e581c9b962e_REF
0,200,1199,113,0.941666667,1,015e0f55bbea866b_LE
0,200,1222,45,0.375000000,1,1b459fa27e8ef82f_LE
0,200,1231,47,0.391666667,1,1b459fa27e8ef82f_LE
0,200,1249,46,0.383333333,1,1b459fa27e8ef82f_LE
0,200,1269,40,0.333333333,1,1b459fa27e8ef82f_LE
0,200,1286,43,0.358333333,1,1b459fa27e8ef82f_LE
0,200,1327,39,0.325000000,1,1b459fa27e8ef82f_LE
0,200,1341,9,0.075000000,1,1b459fa27e8ef82f_LE
0,200,1346,7,0.058333333,1,1b459fa27e8ef82f_LE
0,200,1376,40,0.333333333,1,015e0f55bbea866b_LE
