completed_updates,validation_index,u200_lr,u1000_lr,absolute_lr_difference,base_lr,eta_min,t_max_updates,warmup_updates,is_p_low_snapshot,is_p_high_snapshot,common_step_schedule_pass
0,0,0.0005,0.0005,0.0,0.0005,1e-05,93750,0,false,false,true
1875,1,0.000499516548464927,0.000499516548464927,0.0,0.0005,1e-05,93750,0,false,false,true
3750,2,0.000498068101822047,0.000498068101822047,0.0,0.0005,1e-05,93750,0,false,false,true
5625,3,0.000495660376428529,0.000495660376428529,0.0,0.0005,1e-05,93750,0,false,false,true
7500,4,0.000492302874476515,0.000492302874476515,0.0,0.0005,1e-05,93750,0,false,false,true
9375,5,0.000488008846492313,0.000488008846492313,0.0,0.0005,1e-05,93750,0,false,false,true
11250,6,0.000482795239042622,0.000482795239042622,0.0,0.0005,1e-05,93750,0,false,false,true
13125,7,0.000476682627854175,0.000476682627854175,0.0,0.0005,1e-05,93750,0,false,false,true
15000,8,0.000469695136610747,0.000469695136610747,0.0,0.0005,1e-05,93750,0,false,false,true
16875,9,0.000461860341747994,0.000461860341747994,0.0,0.0005,1e-05,93750,0,false,false,true
18750,10,0.000453209163621862,0.000453209163621862,0.0,0.0005,1e-05,93750,0,true,false,true
20625,11,0.000443775744480068,0.000443775744480068,0.0,0.0005,1e-05,93750,0,false,false,true
22500,12,0.000433597313718246,0.000433597313718246,0.0,0.0005,1e-05,93750,0,false,false,true
24375,13,0.000422714040952529,0.000422714040952529,0.0,0.0005,1e-05,93750,0,false,false,true
26250,14,0.000411168877488429,0.000411168877488429,0.0,0.0005,1e-05,93750,0,false,false,true
28125,15,0.000399007386811656,0.000399007386811656,0.0,0.0005,1e-05,93750,0,false,false,true
30000,16,0.000386277564769854,0.000386277564769854,0.0,0.0005,1e-05,93750,0,false,false,true
31875,17,0.00037302965015492,0.00037302965015492,0.0,0.0005,1e-05,93750,0,false,false,true
33750,18,0.000359315926433443,0.000359315926433443,0.0,0.0005,1e-05,93750,0,false,false,true
35625,19,0.000345190515407746,0.000345190515407746,0.0,0.0005,1e-05,93750,0,false,false,true
37500,20,0.000330709163621862,0.000330709163621862,0.0,0.0005,1e-05,93750,0,false,false,true
39375,21,0.000315929022355389,0.000315929022355389,0.0,0.0005,1e-05,93750,0,false,false,true
41250,22,0.000300908422073503,0.000300908422073503,0.0,0.0005,1e-05,93750,0,false,false,true
43125,23,0.000285706642223255,0.000285706642223255,0.0,0.0005,1e-05,93750,0,false,false,true
45000,24,0.000270383677284682,0.000270383677284682,0.0,0.0005,1e-05,93750,0,false,false,true
46875,25,0.000255,0.000255,0.0,0.0005,1e-05,93750,0,false,false,true
48750,26,0.000239616322715318,0.000239616322715318,0.0,0.0005,1e-05,93750,0,false,false,true
50625,27,0.000224293357776745,0.000224293357776745,0.0,0.0005,1e-05,93750,0,false,false,true
52500,28,0.000209091577926497,0.000209091577926497,0.0,0.0005,1e-05,93750,0,false,false,true
54375,29,0.000194070977644611,0.000194070977644611,0.0,0.0005,1e-05,93750,0,false,false,true
56250,30,0.000179290836378138,0.000179290836378138,0.0,0.0005,1e-05,93750,0,false,false,true
58125,31,0.000164809484592254,0.000164809484592254,0.0,0.0005,1e-05,93750,0,false,false,true
60000,32,0.000150684073566557,0.000150684073566557,0.0,0.0005,1e-05,93750,0,false,false,true
61875,33,0.00013697034984508,0.00013697034984508,0.0,0.0005,1e-05,93750,0,false,false,true
63750,34,0.000123722435230146,0.000123722435230146,0.0,0.0005,1e-05,93750,0,false,false,true
65625,35,0.000110992613188344,0.000110992613188344,0.0,0.0005,1e-05,93750,0,false,false,true
67500,36,9.8831122511571e-05,9.8831122511571e-05,0.0,0.0005,1e-05,93750,0,false,false,true
69375,37,8.72859590474713e-05,8.72859590474713e-05,0.0,0.0005,1e-05,93750,0,false,false,true
71250,38,7.64026862817541e-05,7.64026862817541e-05,0.0,0.0005,1e-05,93750,0,false,false,true
73125,39,6.62242555199317e-05,6.62242555199317e-05,0.0,0.0005,1e-05,93750,0,false,false,true
75000,40,5.67908363781379e-05,5.67908363781379e-05,0.0,0.0005,1e-05,93750,0,false,false,true
76875,41,4.81396582520063e-05,4.81396582520063e-05,0.0,0.0005,1e-05,93750,0,false,false,true
78750,42,4.03048633892534e-05,4.03048633892534e-05,0.0,0.0005,1e-05,93750,0,false,false,true
80625,43,3.33173721458253e-05,3.33173721458253e-05,0.0,0.0005,1e-05,93750,0,false,false,true
82500,44,2.72047609573784e-05,2.72047609573784e-05,0.0,0.0005,1e-05,93750,0,false,false,true
84375,45,2.19911535076874e-05,2.19911535076874e-05,0.0,0.0005,1e-05,93750,0,false,false,true
86250,46,1.76971255234854e-05,1.76971255234854e-05,0.0,0.0005,1e-05,93750,0,false,false,true
88125,47,1.43396235714713e-05,1.43396235714713e-05,0.0,0.0005,1e-05,93750,0,false,false,true
90000,48,1.19318981779529e-05,1.19318981779529e-05,0.0,0.0005,1e-05,93750,0,false,false,true
91875,49,1.04834515350735e-05,1.04834515350735e-05,0.0,0.0005,1e-05,93750,0,false,false,true
93750,50,1e-05,1e-05,0.0,0.0005,1e-05,93750,0,false,true,true
