subset_seed,unique_data_h,subset_contract,allocation_seed,allocation_rank,group_id,reference_scheme,subject,recording_id,filepath_relative,window_start,window_stop_exclusive,take_windows,available_windows,core_u200_windows_in_row,hours,manifest_row_sha256
0,200,S2P-D1-nested-v1,1818064317,0,015e0f55bbea866b_LE,LE,2070,5887,recordings/sub_2070_ses_133_run_0.npy,0,50,50,50,50,0.416666667,4d4cf6fe4f621a54e56ba4da1ffd3460c768f244125163c46378e31cc39941d9
0,200,S2P-D1-nested-v1,1818064317,1,015e0f55bbea866b_LE,LE,1903,5425,recordings/sub_1903_ses_133_run_0.npy,0,51,51,51,51,0.425000000,323599422a9abd9e3e3ff321bfe8f6d34c94475af85adfc514981ea6a12f9c9f
0,200,S2P-D1-nested-v1,1818064317,2,015e0f55bbea866b_LE,LE,400,1556,recordings/sub_400_ses_0_run_1.npy,0,1,1,1,1,0.008333333,942e8363d456bbd8bfdce256676725741c0c9f1658c10ead39e386e47c667cf5
0,200,S2P-D1-nested-v1,1818064317,3,015e0f55bbea866b_LE,LE,979,3401,recordings/sub_979_ses_0_run_2.npy,0,7,7,7,7,0.058333333,324f6a4abd1a28c9ad1bfc3e6fbf6a95170a7f9134c5e9e969b71f14f946d3c9
0,200,S2P-D1-nested-v1,1818064317,4,015e0f55bbea866b_LE,LE,1123,3845,recordings/sub_1123_ses_133_run_0.npy,0,40,40,40,40,0.333333333,4ffad2623f692af72a22ae2b7901929c3ae6b2a2d56569854321a95d6694df17
0,200,S2P-D1-nested-v1,1818064317,5,015e0f55bbea866b_LE,LE,1138,3869,recordings/sub_1138_ses_133_run_1.npy,0,56,56,56,56,0.466666667,76d38d6893efd73241c86f2cc4c961c08310d51721b4b4255dbc06fcac2515a2
0,200,S2P-D1-nested-v1,1818064317,6,015e0f55bbea866b_LE,LE,264,808,recordings/sub_264_ses_0_run_0.npy,0,50,50,50,50,0.416666667,009b4d94a633cce401d13cf8c2fb178657e05041f559ed977634eaccb39bab38
0,200,S2P-D1-nested-v1,1818064317,7,015e0f55bbea866b_LE,LE,1676,5026,recordings/sub_1676_ses_133_run_0.npy,0,40,40,40,40,0.333333333,0fa613f509cede302b30b7af90c85c8bcb192db2c33deb03314c60ed3b9e12c3
0,200,S2P-D1-nested-v1,1818064317,8,015e0f55bbea866b_LE,LE,801,2792,recordings/sub_801_ses_5_run_13.npy,0,9,9,9,9,0.075000000,9e1e1cd1952cd0ea0b6bb760c42920dcd4064748a6ec20d88386376a446ab61e
0,200,S2P-D1-nested-v1,1818064317,9,015e0f55bbea866b_LE,LE,268,819,recordings/sub_268_ses_0_run_0.npy,0,40,40,40,40,0.333333333,e3ba7a5e014b6469351a01be4114ab63bd355173fc1540b59122c00407deb0f3
