stability_grouping,group_key,source_space,neighborhood,neighborhood_kind,neighborhood_value,min_neighbor_count,label,n_candidates,n_covered_candidates,coverage,empty_fraction,mean_neighbor_count,covered_base_rate,local_bayes_top1_expected_hit,local_bayes_top1_enrichment,local_bayes_gain_vs_covered_random,target_labels_diagnostic_only
target,1,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,402,0,0.0,0.8706467661691543,0.14925373134328357,,,,,1
target,2,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,498,44,0.08835341365461848,0.6807228915662651,1.6947791164658634,0.75,1.0,1.3333333333333333,0.25,1
target,3,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,456,32,0.07017543859649122,0.6885964912280702,1.5350877192982457,0.09375,1.0,10.666666666666666,0.90625,1
target,4,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,459,21,0.0457516339869281,0.7233115468409586,0.6187363834422658,0.2857142857142857,1.0,3.5,0.7142857142857143,1
target,5,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,378,0,0.0,0.9735449735449735,0.026455026455026454,,,,,1
target,6,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,396,0,0.0,0.9318181818181818,0.12121212121212122,,,,,1
target,7,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,408,0,0.0,0.9705882352941176,0.029411764705882353,,,,,1
target,8,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,390,0,0.0,0.9641025641025641,0.035897435897435895,,,,,1
target,9,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,417,0,0.0,0.9184652278177458,0.09592326139088729,,,,,1
seed,0,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,1260,18,0.014285714285714285,0.8587301587301587,0.2873015873015873,0.16666666666666666,1.0,6.0,0.8333333333333334,1
seed,1,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,1215,33,0.027160493827160494,0.8477366255144033,0.6238683127572017,1.0,1.0,1.0,0.0,1
seed,2,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,1329,46,0.0346124905944319,0.8389766741911211,0.6711813393528969,0.13043478260869565,1.0,7.666666666666667,0.8695652173913043,1
level,0,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,1863,9,0.004830917874396135,0.8915727321524423,0.15029522275899088,1.0,1.0,1.0,0.0,1
level,1,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,1941,88,0.04533745492014426,0.8068006182380216,0.8923235445646573,0.375,1.0,2.6666666666666665,0.625,1
trajectory,0|1|0|S0_full_support,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,20,0,0.0,1.0,0.0,,,,,1
trajectory,0|1|0|S2_rare_cells,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,20,0,0.0,1.0,0.0,,,,,1
trajectory,0|1|0|S3_nonestimable_cells,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,20,0,0.0,1.0,0.0,,,,,1
trajectory,0|1|1|S0_full_support,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,20,0,0.0,1.0,0.0,,,,,1
trajectory,0|1|1|S2_rare_cells,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,20,0,0.0,1.0,0.0,,,,,1
trajectory,0|1|1|S3_nonestimable_cells,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,20,0,0.0,1.0,0.0,,,,,1
trajectory,0|2|0|S0_full_support,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,27,0,0.0,0.9259259259259259,0.07407407407407407,,,,,1
trajectory,0|2|0|S2_rare_cells,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,27,0,0.0,0.8518518518518519,0.14814814814814814,,,,,1
trajectory,0|2|0|S3_nonestimable_cells,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,27,0,0.0,0.9259259259259259,0.07407407407407407,,,,,1
trajectory,0|2|1|S0_full_support,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,28,0,0.0,0.8571428571428571,0.42857142857142855,,,,,1
trajectory,0|2|1|S2_rare_cells,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,28,0,0.0,0.8571428571428571,0.42857142857142855,,,,,1
trajectory,0|2|1|S3_nonestimable_cells,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,28,0,0.0,0.8571428571428571,0.42857142857142855,,,,,1
trajectory,0|3|0|S0_full_support,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,23,0,0.0,0.7391304347826086,0.5217391304347826,,,,,1
trajectory,0|3|0|S2_rare_cells,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,23,3,0.13043478260869565,0.7391304347826086,1.1304347826086956,1.0,1.0,1.0,0.0,1
trajectory,0|3|0|S3_nonestimable_cells,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,23,0,0.0,0.7391304347826086,0.6956521739130435,,,,,1
trajectory,0|3|1|S0_full_support,all_source_objectives,eps_q01,epsilon,0.03462955414672538,5,primary_joint_good,25,0,0.0,0.92,0.08,,,,,1
