group_scope,source_space,neighborhood,neighborhood_kind,neighborhood_value,min_neighbor_count,label,n_groups,n_evaluable_groups,mean_n_candidates,mean_coverage,mean_empty_fraction,mean_neighbor_count,mean_group_base_rate,mean_covered_base_rate,mean_local_purity_all,mean_local_purity_covered,mean_local_bayes_top1_hit,mean_local_bayes_gain_vs_covered_random,mean_local_bayes_enrichment,mean_c47_actual_strict_source_top1_hit,mean_gap_vs_c47_actual_top1,target_labels_diagnostic_only,coverage_threshold,passes_reliability_with_coverage
global,all_source_objectives,eps_q01,epsilon,0.03462955414672538,1,pareto_good,1,1,3804.0,0.15168243953732913,0.8483175604626709,0.5289169295478444,0.13643533123028392,0.08492201039861352,0.12844515912426333,0.08375835602871998,0.9523809523809523,0.8674589419823389,11.214771622934887,1.0,-0.04761904761904767,1,0.25,0
global,all_source_objectives,eps_q01,epsilon,0.03462955414672538,1,pareto_good,1,1,3804.0,0.15168243953732913,0.8483175604626709,0.5289169295478444,0.13643533123028392,0.08492201039861352,0.12844515912426333,0.08375835602871998,0.9523809523809523,0.8674589419823389,11.214771622934887,1.0,-0.04761904761904767,1,0.5,0
global,all_source_objectives,eps_q01,epsilon,0.03462955414672538,1,pareto_good,1,1,3804.0,0.15168243953732913,0.8483175604626709,0.5289169295478444,0.13643533123028392,0.08492201039861352,0.12844515912426333,0.08375835602871998,0.9523809523809523,0.8674589419823389,11.214771622934887,1.0,-0.04761904761904767,1,0.75,0
global,all_source_objectives,eps_q01,epsilon,0.03462955414672538,1,preference_robust_better_candidate,1,1,3804.0,0.15168243953732913,0.8483175604626709,0.5289169295478444,0.02996845425867508,0.010398613518197574,0.027000053073802436,0.010398613518197574,1.0,0.9896013864818024,96.16666666666666,0.0,1.0,1,0.25,0
global,all_source_objectives,eps_q01,epsilon,0.03462955414672538,1,preference_robust_better_candidate,1,1,3804.0,0.15168243953732913,0.8483175604626709,0.5289169295478444,0.02996845425867508,0.010398613518197574,0.027000053073802436,0.010398613518197574,1.0,0.9896013864818024,96.16666666666666,0.0,1.0,1,0.5,0
global,all_source_objectives,eps_q01,epsilon,0.03462955414672538,1,preference_robust_better_candidate,1,1,3804.0,0.15168243953732913,0.8483175604626709,0.5289169295478444,0.02996845425867508,0.010398613518197574,0.027000053073802436,0.010398613518197574,1.0,0.9896013864818024,96.16666666666666,0.0,1.0,1,0.75,0
global,all_source_objectives,eps_q01,epsilon,0.03462955414672538,1,primary_joint_good,1,1,3804.0,0.15168243953732913,0.8483175604626709,0.5289169295478444,0.4242902208201893,0.43500866551126516,0.42591602065897777,0.43500866551126516,1.0,0.5649913344887348,2.298804780876494,0.0,1.0,1,0.25,0
global,all_source_objectives,eps_q01,epsilon,0.03462955414672538,1,primary_joint_good,1,1,3804.0,0.15168243953732913,0.8483175604626709,0.5289169295478444,0.4242902208201893,0.43500866551126516,0.42591602065897777,0.43500866551126516,1.0,0.5649913344887348,2.298804780876494,0.0,1.0,1,0.5,0
global,all_source_objectives,eps_q01,epsilon,0.03462955414672538,1,primary_joint_good,1,1,3804.0,0.15168243953732913,0.8483175604626709,0.5289169295478444,0.4242902208201893,0.43500866551126516,0.42591602065897777,0.43500866551126516,1.0,0.5649913344887348,2.298804780876494,0.0,1.0,1,0.75,0
global,all_source_objectives,eps_q01,epsilon,0.03462955414672538,2,pareto_good,1,1,3804.0,0.05573080967402734,0.8483175604626709,0.5289169295478444,0.13643533123028392,0.04716981132075472,0.12844515912426333,0.04871967654986523,0.75,0.7028301886792453,15.899999999999999,1.0,-0.25,1,0.25,0
