source_space,epsilon_quantile,epsilon_radius,distance_metric,computed_from
all_source_objectives,0.01,0.03462955414672538,within_trajectory_z_euclidean,within_trajectory_pair_distances
all_source_objectives,0.02,0.11422509412362998,within_trajectory_z_euclidean,within_trajectory_pair_distances
all_source_objectives,0.05,0.33442145137782736,within_trajectory_z_euclidean,within_trajectory_pair_distances
all_source_objectives,0.1,1.269009511962666,within_trajectory_z_euclidean,within_trajectory_pair_distances
all_source_objectives,0.2,3.2532662364835945,within_trajectory_z_euclidean,within_trajectory_pair_distances
rank_only,0.01,0.0015776773858283371,within_trajectory_z_euclidean,within_trajectory_pair_distances
rank_only,0.02,0.003482576102854704,within_trajectory_z_euclidean,within_trajectory_pair_distances
rank_only,0.05,0.01542488137453127,within_trajectory_z_euclidean,within_trajectory_pair_distances
rank_only,0.1,0.07679219616459493,within_trajectory_z_euclidean,within_trajectory_pair_distances
rank_only,0.2,0.31981078580280553,within_trajectory_z_euclidean,within_trajectory_pair_distances
leakage_only,0.01,0.005801380999707921,within_trajectory_z_euclidean,within_trajectory_pair_distances
leakage_only,0.02,0.010993466966374058,within_trajectory_z_euclidean,within_trajectory_pair_distances
leakage_only,0.05,0.03778895837186143,within_trajectory_z_euclidean,within_trajectory_pair_distances
leakage_only,0.1,0.1498723513890061,within_trajectory_z_euclidean,within_trajectory_pair_distances
leakage_only,0.2,0.5241924589880126,within_trajectory_z_euclidean,within_trajectory_pair_distances
risk_only,0.01,0.004126726070289123,within_trajectory_z_euclidean,within_trajectory_pair_distances
risk_only,0.02,0.00940092071193778,within_trajectory_z_euclidean,within_trajectory_pair_distances
risk_only,0.05,0.03516006843167044,within_trajectory_z_euclidean,within_trajectory_pair_distances
risk_only,0.1,0.21215154317331583,within_trajectory_z_euclidean,within_trajectory_pair_distances
risk_only,0.2,0.6270566840797319,within_trajectory_z_euclidean,within_trajectory_pair_distances
rank_risk,0.01,0.008378019510584195,within_trajectory_z_euclidean,within_trajectory_pair_distances
rank_risk,0.02,0.013781377493962084,within_trajectory_z_euclidean,within_trajectory_pair_distances
rank_risk,0.05,0.05129695965569682,within_trajectory_z_euclidean,within_trajectory_pair_distances
rank_risk,0.1,0.3554688303888576,within_trajectory_z_euclidean,within_trajectory_pair_distances
rank_risk,0.2,1.1954334833715414,within_trajectory_z_euclidean,within_trajectory_pair_distances
leakage_rank,0.01,0.013725785898876791,within_trajectory_z_euclidean,within_trajectory_pair_distances
leakage_rank,0.02,0.024647781281230786,within_trajectory_z_euclidean,within_trajectory_pair_distances
leakage_rank,0.05,0.0721181236321331,within_trajectory_z_euclidean,within_trajectory_pair_distances
leakage_rank,0.1,0.34259135004506114,within_trajectory_z_euclidean,within_trajectory_pair_distances
leakage_rank,0.2,1.094148215520966,within_trajectory_z_euclidean,within_trajectory_pair_distances
