field,level,dtype_or_type,required,scientific_status
scenario_id,scenario,string,1,LOCKED_SYNTHETIC
replicates,scenario,uint16_count,1,LOCKED_SYNTHETIC
design,design,passive_or_neyman,1,LOCKED_SYNTHETIC
selected_action_counts,design,uint64_by_action,1,LOCKED_SYNTHETIC
mean_selection_regret,design,float64,1,LOCKED_SYNTHETIC
mean_selection_regret_mc_se,design,float64,1,NUMERICAL_DIAGNOSTIC
correct_best_probability,design,float64,1,LOCKED_SYNTHETIC
correct_best_mc_se,design,float64,1,NUMERICAL_DIAGNOSTIC
top_2_coverage,design,float64,1,LOCKED_SYNTHETIC
top_2_mc_se,design,float64,1,NUMERICAL_DIAGNOSTIC
d_hat_mean,design,float64,1,LOCKED_SYNTHETIC
d_hat_sample_variance,design,float64,1,REPRODUCIBILITY_DIAGNOSTIC
d_hat_mean_mc_se,design,float64,1,NUMERICAL_DIAGNOSTIC
analytic_D_hat_variance,design,float64,1,AUTHORITATIVE
paired_passive_minus_neyman,endpoint,float64_mean_se_interval,1,FIXED_SCENARIO_ONLY
raw_output_sha256,design,sha256,1,REPRODUCIBILITY_RECEIPT
universal_active_superiority_claim,scenario,false,1,CLAIM_BOUNDARY
