N,seed,epochs,first_val,best_val,best_epoch,val_rel_decrease,converged_20pct,strict_reload,target_labels_used,hbn_neutralized,div_by_100,n_params,git
128,0,50,0.5869025196880102,0.24132222837458053,48,0.588820595790142,True,True,False,True,False,4924000,e58038b3e947
128,1,50,0.6220441348850727,0.2284799525514245,48,0.6326949492199008,True,True,False,True,False,4924000,e58038b3e947
128,2,50,0.6095987856388092,0.23016232686738172,47,0.622436375711952,True,True,False,True,False,4924000,e58038b3e947
256,0,50,0.6075852109740177,0.23451541053752104,45,0.6140205418075102,True,True,False,True,False,4924000,e58038b3e947
256,1,50,0.6164279294510683,0.22209571519245705,48,0.6397053011692149,True,True,False,True,False,4924000,e58038b3e947
256,2,50,0.6085060934225718,0.22866958348701397,47,0.6242115141348037,True,True,False,True,False,4924000,e58038b3e947
512,0,50,0.6112132159372171,0.23826631934692463,45,0.6101747914897852,True,True,False,True,False,4924000,e58038b3e947
512,1,50,0.6119851668675741,0.2258866336196661,46,0.6308952473866983,True,True,False,True,False,4924000,e58038b3e947
512,2,50,0.6143236079563698,0.2216431793446342,50,0.6392077783206801,True,True,False,True,False,4924000,e242c816a8fd
1024,0,50,0.5969099228580793,0.23304938959578672,49,0.6095736045399998,True,True,False,True,False,4924000,e242c816a8fd
1024,1,50,0.6265442284444968,0.22553915747751793,50,0.6400267575084723,True,True,False,True,False,4924000,e242c816a8fd
1024,2,50,0.6147867913047472,0.22050400916486979,50,0.6413325525473645,True,True,False,True,False,4924000,e242c816a8fd
2048,0,50,0.6110816610356172,0.23717828808973232,49,0.6118713697154983,True,True,False,True,False,4924000,e242c816a8fd
2048,1,50,0.6213458875815073,0.22140908613801003,50,0.6436621042108919,True,True,False,True,False,4924000,e242c816a8fd
2048,2,50,0.6140051030864319,0.22100314560035864,50,0.6400630149661011,True,True,False,True,False,4924000,e242c816a8fd
