comparison_id,information_class,hit,endpoint_oracle_hit,hit_gap_to_endpoint_oracle,relative_gap_fraction_of_random_to_oracle,diagnostic_only,note
B0,G0_random_or_tie,0.4297233780360411,0.9444444444444444,0.5147210664084033,1.0,0,direct finite-population baseline with fractional tie handling
B1,G1_strict_source_observables,0.5061728395061729,0.9444444444444444,0.43827160493827155,0.8514739992991208,0,registered source score surrogate; not a full Bayes optimum over all possible source functions
B2,G1_strict_source_observables,0.5740740740740741,0.9444444444444444,0.37037037037037035,0.7195554923654544,0,diagnostic hindsight grid; not a tuned deployable selector
B3,G2_source_plus_key,0.4876543209876543,0.9444444444444444,0.4567901234567901,0.8874517739173936,0,key/source-geometry escape hatch remains below source rank and endpoint labels
B4,G2_source_plus_key,0.4297233780360411,0.9444444444444444,0.5147210664084033,1.0,0,keys are constant inside each evaluated trajectory and do not order candidates
B5,G6_target_label_diagnostic_content,0.8127572016460904,0.9444444444444444,0.13168724279835398,0.25584195284105055,1,diagnostic label content closes most residual but is unavailable for source-only selection
B6,G6_target_label_diagnostic_content,0.7037037037037037,0.9444444444444444,0.2407407407407407,0.46771107003754525,1,partial template transfer; does not beat the max null p95
B7,G7_same_label_endpoint_oracle,0.9444444444444444,0.9444444444444444,0.0,0.0,1,endpoint-oracle reference; unavailable at selection time
B8,G6_target_label_diagnostic_content,0.9259259259259259,0.9444444444444444,0.01851851851851849,0.03597777461827266,1,strong target endpoint component but target-label-derived
B9,G4/G6_conditioned_local_ceiling,1.0,0.9444444444444444,-0.05555555555555558,-0.1079333238548182,1,different diagnostic local ceiling; not selection-time rule
